🦵🏻	bahagian kaki, kaki, kaki: ton kulit cerah, tendang, ton kulit cerah
🙋🏾‍♀	gerak isyarat, mengangkat tangan, perempuan, perempuan mengangkat tangan, perempuan mengangkat tangan: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
🙋🏿‍♀	gerak isyarat, mengangkat tangan, perempuan, perempuan mengangkat tangan, perempuan mengangkat tangan: ton kulit gelap, ton kulit gelap, wanita
🙇🏻	isyarat, maaf, minta maaf, orang menunduk, orang menunduk: ton kulit cerah, ton kulit cerah, tunduk
🙇🏼	isyarat, maaf, minta maaf, orang menunduk, orang menunduk: ton kulit sederhana cerah, ton kulit sederhana cerah, tunduk
🙇🏽	isyarat, maaf, minta maaf, orang menunduk, orang menunduk: ton kulit sederhana, ton kulit sederhana, tunduk
🙇🏾	isyarat, maaf, minta maaf, orang menunduk, orang menunduk: ton kulit sederhana gelap, ton kulit sederhana gelap, tunduk
🙇🏿	isyarat, maaf, minta maaf, orang menunduk, orang menunduk: ton kulit gelap, ton kulit gelap, tunduk
🙇🏻‍♂	gerak isyarat, kemaafan, lelaki, lelaki menunduk: ton kulit cerah, maaf, menunduk, ton kulit cerah
🙇🏼‍♂	gerak isyarat, kemaafan, lelaki, lelaki menunduk: ton kulit sederhana cerah, maaf, menunduk, ton kulit sederhana cerah
🙇🏽‍♂	gerak isyarat, kemaafan, lelaki, lelaki menunduk: ton kulit sederhana, maaf, menunduk, ton kulit sederhana
🙇🏾‍♂	gerak isyarat, kemaafan, lelaki, lelaki menunduk: ton kulit sederhana gelap, maaf, menunduk, ton kulit sederhana gelap
🙇🏿‍♂	gerak isyarat, kemaafan, lelaki, lelaki menunduk: ton kulit gelap, maaf, menunduk, ton kulit gelap
🙇🏻‍♀	gerak isyarat, kemaafan, maaf, menunduk, perempuan, perempuan menunduk: ton kulit cerah, ton kulit cerah, wanita
🙇🏼‍♀	gerak isyarat, kemaafan, maaf, menunduk, perempuan, perempuan menunduk: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
🙇🏽‍♀	gerak isyarat, kemaafan, maaf, menunduk, perempuan, perempuan menunduk: ton kulit sederhana, ton kulit sederhana, wanita
🙇🏾‍♀	gerak isyarat, kemaafan, maaf, menunduk, perempuan, perempuan menunduk: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
🙇🏿‍♀	gerak isyarat, kemaafan, maaf, menunduk, perempuan, perempuan menunduk: ton kulit gelap, ton kulit gelap, wanita
🤦🏻	dahi, muka, tak percaya, tepuk, tepuk dahi: ton kulit cerah, ton kulit cerah
🤦🏼	dahi, muka, tak percaya, tepuk, tepuk dahi: ton kulit sederhana cerah, ton kulit sederhana cerah
🤦🏽	dahi, muka, tak percaya, tepuk, tepuk dahi: ton kulit sederhana, ton kulit sederhana
🤦🏾	dahi, muka, tak percaya, tepuk, tepuk dahi: ton kulit sederhana gelap, ton kulit sederhana gelap
🤦🏿	dahi, muka, tak percaya, tepuk, tepuk dahi: ton kulit gelap, ton kulit gelap
🤦🏻‍♂	kejengkelan, lelaki, lelaki menepuk muka, lelaki menepuk muka: ton kulit cerah, tepuk muka, tidak percaya, ton kulit cerah
🤦🏼‍♂	kejengkelan, lelaki, lelaki menepuk muka, lelaki menepuk muka: ton kulit sederhana cerah, tepuk muka, tidak percaya, ton kulit sederhana cerah
🤦🏽‍♂	kejengkelan, lelaki, lelaki menepuk muka, lelaki menepuk muka: ton kulit sederhana, tepuk muka, tidak percaya, ton kulit sederhana
🤦🏾‍♂	kejengkelan, lelaki, lelaki menepuk muka, lelaki menepuk muka: ton kulit sederhana gelap, tepuk muka, tidak percaya, ton kulit sederhana gelap
🤦🏿‍♂	kejengkelan, lelaki, lelaki menepuk muka, lelaki menepuk muka: ton kulit gelap, tepuk muka, tidak percaya, ton kulit gelap
🤦🏻‍♀	kejengkelan, perempuan, perempuan menepuk muka, perempuan menepuk muka: ton kulit cerah, tepuk muka, tidak percaya, ton kulit cerah, wanita
🤦🏼‍♀	kejengkelan, perempuan, perempuan menepuk muka, perempuan menepuk muka: ton kulit sederhana cerah, tepuk muka, tidak percaya, ton kulit sederhana cerah, wanita
🤦🏽‍♀	kejengkelan, perempuan, perempuan menepuk muka, perempuan menepuk muka: ton kulit sederhana, tepuk muka, tidak percaya, ton kulit sederhana, wanita
🤦🏾‍♀	kejengkelan, perempuan, perempuan menepuk muka, perempuan menepuk muka: ton kulit sederhana gelap, tepuk muka, tidak percaya, ton kulit sederhana gelap, wanita
🤦🏿‍♀	kejengkelan, perempuan, perempuan menepuk muka, perempuan menepuk muka: ton kulit gelap, tepuk muka, tidak percaya, ton kulit gelap, wanita
🤷🏻	angkat bahu, angkat bahu: ton kulit cerah, sangsi, tak peduli, tidak tahu, ton kulit cerah
🤷🏼	angkat bahu, angkat bahu: ton kulit sederhana cerah, sangsi, tak peduli, tidak tahu, ton kulit sederhana cerah
🤷🏽	angkat bahu, angkat bahu: ton kulit sederhana, sangsi, tak peduli, tidak tahu, ton kulit sederhana
🤷🏾	angkat bahu, angkat bahu: ton kulit sederhana gelap, sangsi, tak peduli, tidak tahu, ton kulit sederhana gelap
🤷🏿	angkat bahu, angkat bahu: ton kulit gelap, sangsi, tak peduli, tidak tahu, ton kulit gelap
🤷🏻‍♂	angkat bahu, kejahilan, lelaki, lelaki mengangkat bahu, lelaki mengangkat bahu: ton kulit cerah, sangsi, tidak peduli, ton kulit cerah
🤷🏼‍♂	angkat bahu, kejahilan, lelaki, lelaki mengangkat bahu, lelaki mengangkat bahu: ton kulit sederhana cerah, sangsi, tidak peduli, ton kulit sederhana cerah
🤷🏽‍♂	angkat bahu, kejahilan, lelaki, lelaki mengangkat bahu, lelaki mengangkat bahu: ton kulit sederhana, sangsi, tidak peduli, ton kulit sederhana
🤷🏾‍♂	angkat bahu, kejahilan, lelaki, lelaki mengangkat bahu, lelaki mengangkat bahu: ton kulit sederhana gelap, sangsi, tidak peduli, ton kulit sederhana gelap
🤷🏿‍♂	angkat bahu, kejahilan, lelaki, lelaki mengangkat bahu, lelaki mengangkat bahu: ton kulit gelap, sangsi, tidak peduli, ton kulit gelap
🤷🏻‍♀	angkat bahu, kejahilan, perempuan, perempuan mengangkat bahu, perempuan mengangkat bahu: ton kulit cerah, sangsi, tidak peduli, ton kulit cerah, wanita
🤷🏼‍♀	angkat bahu, kejahilan, perempuan, perempuan mengangkat bahu, perempuan mengangkat bahu: ton kulit sederhana cerah, sangsi, tidak peduli, ton kulit sederhana cerah, wanita
🤷🏽‍♀	angkat bahu, kejahilan, perempuan, perempuan mengangkat bahu, perempuan mengangkat bahu: ton kulit sederhana, sangsi, tidak peduli, ton kulit sederhana, wanita
🤷🏾‍♀	angkat bahu, kejahilan, perempuan, perempuan mengangkat bahu, perempuan mengangkat bahu: ton kulit sederhana gelap, sangsi, tidak peduli, ton kulit sederhana gelap, wanita
🤷🏿‍♀	angkat bahu, kejahilan, perempuan, perempuan mengangkat bahu, perempuan mengangkat bahu: ton kulit gelap, sangsi, tidak peduli, ton kulit gelap, wanita
💆🏻	salun, ton kulit cerah, urut, urut muka, urut muka: ton kulit cerah
💆🏼	salun, ton kulit sederhana cerah, urut, urut muka, urut muka: ton kulit sederhana cerah
💆🏽	salun, ton kulit sederhana, urut, urut muka, urut muka: ton kulit sederhana
💆🏾	salun, ton kulit sederhana gelap, urut, urut muka, urut muka: ton kulit sederhana gelap
💆🏿	salun, ton kulit gelap, urut, urut muka, urut muka: ton kulit gelap
💆🏻‍♂	lelaki, lelaki diurut muka, lelaki diurut muka: ton kulit cerah, muka, ton kulit cerah, urut
💆🏼‍♂	lelaki, lelaki diurut muka, lelaki diurut muka: ton kulit sederhana cerah, muka, ton kulit sederhana cerah, urut
💆🏽‍♂	lelaki, lelaki diurut muka, lelaki diurut muka: ton kulit sederhana, muka, ton kulit sederhana, urut
💆🏾‍♂	lelaki, lelaki diurut muka, lelaki diurut muka: ton kulit sederhana gelap, muka, ton kulit sederhana gelap, urut
💆🏿‍♂	lelaki, lelaki diurut muka, lelaki diurut muka: ton kulit gelap, muka, ton kulit gelap, urut
💆🏻‍♀	muka, perempuan, perempuan diurut mka, perempuan diurut mka: ton kulit cerah, ton kulit cerah, urut, wanita
💆🏼‍♀	muka, perempuan, perempuan diurut mka, perempuan diurut mka: ton kulit sederhana cerah, ton kulit sederhana cerah, urut, wanita
💆🏽‍♀	muka, perempuan, perempuan diurut mka, perempuan diurut mka: ton kulit sederhana, ton kulit sederhana, urut, wanita
💆🏾‍♀	muka, perempuan, perempuan diurut mka, perempuan diurut mka: ton kulit sederhana gelap, ton kulit sederhana gelap, urut, wanita
💆🏿‍♀	muka, perempuan, perempuan diurut mka, perempuan diurut mka: ton kulit gelap, ton kulit gelap, urut, wanita
💇🏻	gunting rambut, gunting rambut: ton kulit cerah, kecantikan, salun, ton kulit cerah, tukang gunting
💇🏼	gunting rambut, gunting rambut: ton kulit sederhana cerah, kecantikan, salun, ton kulit sederhana cerah, tukang gunting
💇🏽	gunting rambut, gunting rambut: ton kulit sederhana, kecantikan, salun, ton kulit sederhana, tukang gunting
💇🏾	gunting rambut, gunting rambut: ton kulit sederhana gelap, kecantikan, salun, ton kulit sederhana gelap, tukang gunting
💇🏿	gunting rambut, gunting rambut: ton kulit gelap, kecantikan, salun, ton kulit gelap, tukang gunting
💇🏻‍♂	gunting rambut, lelaki, lelaki digunting rambut, lelaki digunting rambut: ton kulit cerah, ton kulit cerah
💇🏼‍♂	gunting rambut, lelaki, lelaki digunting rambut, lelaki digunting rambut: ton kulit sederhana cerah, ton kulit sederhana cerah
💇🏽‍♂	gunting rambut, lelaki, lelaki digunting rambut, lelaki digunting rambut: ton kulit sederhana, ton kulit sederhana
💇🏾‍♂	gunting rambut, lelaki, lelaki digunting rambut, lelaki digunting rambut: ton kulit sederhana gelap, ton kulit sederhana gelap
💇🏿‍♂	gunting rambut, lelaki, lelaki digunting rambut, lelaki digunting rambut: ton kulit gelap, ton kulit gelap
💇🏻‍♀	gunting rambut, perempuan, perempuan digunting rambut, perempuan digunting rambut: ton kulit cerah, ton kulit cerah, wanita
💇🏼‍♀	gunting rambut, perempuan, perempuan digunting rambut, perempuan digunting rambut: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
💇🏽‍♀	gunting rambut, perempuan, perempuan digunting rambut, perempuan digunting rambut: ton kulit sederhana, ton kulit sederhana, wanita
💇🏾‍♀	gunting rambut, perempuan, perempuan digunting rambut, perempuan digunting rambut: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
💇🏿‍♀	gunting rambut, perempuan, perempuan digunting rambut, perempuan digunting rambut: ton kulit gelap, ton kulit gelap, wanita
🚶🏻	berjalan, jalan, kembara jalan kaki, pejalan kaki, pejalan kaki: ton kulit cerah, ton kulit cerah
🚶🏼	berjalan, jalan, kembara jalan kaki, pejalan kaki, pejalan kaki: ton kulit sederhana cerah, ton kulit sederhana cerah
🚶🏽	berjalan, jalan, kembara jalan kaki, pejalan kaki, pejalan kaki: ton kulit sederhana, ton kulit sederhana
🚶🏾	berjalan, jalan, kembara jalan kaki, pejalan kaki, pejalan kaki: ton kulit sederhana gelap, ton kulit sederhana gelap
🚶🏿	berjalan, jalan, kembara jalan kaki, pejalan kaki, pejalan kaki: ton kulit gelap, ton kulit gelap
🚶🏻‍♂	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan: ton kulit cerah, ton kulit cerah
🚶🏼‍♂	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan: ton kulit sederhana cerah, ton kulit sederhana cerah
🚶🏽‍♂	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan: ton kulit sederhana, ton kulit sederhana
🚶🏾‍♂	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan: ton kulit sederhana gelap, ton kulit sederhana gelap
🚶🏿‍♂	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan: ton kulit gelap, ton kulit gelap
🚶🏻‍♀	berjalan kaki, perempuan, perempuan berjalan, perempuan berjalan: ton kulit cerah, ton kulit cerah, wanita
🚶🏼‍♀	berjalan kaki, perempuan, perempuan berjalan, perempuan berjalan: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
🚶🏽‍♀	berjalan kaki, perempuan, perempuan berjalan, perempuan berjalan: ton kulit sederhana, ton kulit sederhana, wanita
🚶🏾‍♀	berjalan kaki, perempuan, perempuan berjalan, perempuan berjalan: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
🚶🏿‍♀	berjalan kaki, perempuan, perempuan berjalan, perempuan berjalan: ton kulit gelap, ton kulit gelap, wanita
🏃🏻	berlari, maraton, pelari, pelari: ton kulit cerah, ton kulit cerah
🏃🏼	berlari, maraton, pelari, pelari: ton kulit sederhana cerah, ton kulit sederhana cerah
🏃🏽	berlari, maraton, pelari, pelari: ton kulit sederhana, ton kulit sederhana
🏃🏾	berlari, maraton, pelari, pelari: ton kulit sederhana gelap, ton kulit sederhana gelap
🏃🏿	berlari, maraton, pelari, pelari: ton kulit gelap, ton kulit gelap
🏃🏻‍♂	berlari, berlumba, lelaki, lelaki berlari: ton kulit cerah, maraton, ton kulit cerah
🏃🏼‍♂	berlari, berlumba, lelaki, lelaki berlari: ton kulit sederhana cerah, maraton, ton kulit sederhana cerah
🏃🏽‍♂	berlari, berlumba, lelaki, lelaki berlari: ton kulit sederhana, maraton, ton kulit sederhana
🏃🏾‍♂	berlari, berlumba, lelaki, lelaki berlari: ton kulit sederhana gelap, maraton, ton kulit sederhana gelap
🏃🏿‍♂	berlari, berlumba, lelaki, lelaki berlari: ton kulit gelap, maraton, ton kulit gelap
🏃🏻‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari: ton kulit cerah, ton kulit cerah, wanita
🏃🏼‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
🏃🏽‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari: ton kulit sederhana, ton kulit sederhana, wanita
🏃🏾‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
🏃🏿‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari: ton kulit gelap, ton kulit gelap, wanita
💃🏻	menari, perempuan, perempuan menari: ton kulit cerah, ton kulit cerah, wanita
💃🏼	menari, perempuan, perempuan menari: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
💃🏽	menari, perempuan, perempuan menari: ton kulit sederhana, ton kulit sederhana, wanita
💃🏾	menari, perempuan, perempuan menari: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
💃🏿	menari, perempuan, perempuan menari: ton kulit gelap, ton kulit gelap, wanita
🕺🏻	disko, lelaki, lelaki menari: ton kulit cerah, menari, ton kulit cerah
🕺🏼	disko, lelaki, lelaki menari: ton kulit sederhana cerah, menari, ton kulit sederhana cerah
🕺🏽	disko, lelaki, lelaki menari: ton kulit sederhana, menari, ton kulit sederhana
🕺🏾	disko, lelaki, lelaki menari: ton kulit sederhana gelap, menari, ton kulit sederhana gelap
🕺🏿	disko, lelaki, lelaki menari: ton kulit gelap, menari, ton kulit gelap
🧖🏻	bilik wap, orang dalam bilik berwap, orang dalam bilik berwap: ton kulit cerah, sauna, ton kulit cerah
🧖🏼	bilik wap, orang dalam bilik berwap, orang dalam bilik berwap: ton kulit sederhana cerah, sauna, ton kulit sederhana cerah
🧖🏽	bilik wap, orang dalam bilik berwap, orang dalam bilik berwap: ton kulit sederhana, sauna, ton kulit sederhana
🧖🏾	bilik wap, orang dalam bilik berwap, orang dalam bilik berwap: ton kulit sederhana gelap, sauna, ton kulit sederhana gelap
🧖🏿	bilik wap, orang dalam bilik berwap, orang dalam bilik berwap: ton kulit gelap, sauna, ton kulit gelap
🧖🏻‍♀	bilik wap, sauna, ton kulit cerah, wanita dalam bilik berwap, wanita dalam bilik berwap: ton kulit cerah
🧖🏼‍♀	bilik wap, sauna, ton kulit sederhana cerah, wanita dalam bilik berwap, wanita dalam bilik berwap: ton kulit sederhana cerah
🧖🏽‍♀	bilik wap, sauna, ton kulit sederhana, wanita dalam bilik berwap, wanita dalam bilik berwap: ton kulit sederhana
🧖🏾‍♀	bilik wap, sauna, ton kulit sederhana gelap, wanita dalam bilik berwap, wanita dalam bilik berwap: ton kulit sederhana gelap
🧖🏿‍♀	bilik wap, sauna, ton kulit gelap, wanita dalam bilik berwap, wanita dalam bilik berwap: ton kulit gelap
🧖🏻‍♂	bilik wap, lelaki dalam bilik berwap, lelaki dalam bilik berwap: ton kulit cerah, sauna, ton kulit cerah
🧖🏼‍♂	bilik wap, lelaki dalam bilik berwap, lelaki dalam bilik berwap: ton kulit sederhana cerah, sauna, ton kulit sederhana cerah
🧖🏽‍♂	bilik wap, lelaki dalam bilik berwap, lelaki dalam bilik berwap: ton kulit sederhana, sauna, ton kulit sederhana
🧖🏾‍♂	bilik wap, lelaki dalam bilik berwap, lelaki dalam bilik berwap: ton kulit sederhana gelap, sauna, ton kulit sederhana gelap
🧖🏿‍♂	bilik wap, lelaki dalam bilik berwap, lelaki dalam bilik berwap: ton kulit gelap, sauna, ton kulit gelap
🧗🏻	orang mendaki, orang mendaki: ton kulit cerah, pendaki, ton kulit cerah
🧗🏼	orang mendaki, orang mendaki: ton kulit sederhana cerah, pendaki, ton kulit sederhana cerah
🧗🏽	orang mendaki, orang mendaki: ton kulit sederhana, pendaki, ton kulit sederhana
🧗🏾	orang mendaki, orang mendaki: ton kulit sederhana gelap, pendaki, ton kulit sederhana gelap
🧗🏿	orang mendaki, orang mendaki: ton kulit gelap, pendaki, ton kulit gelap
🧗🏻‍♀	pendaki, ton kulit cerah, wanita mendaki, wanita mendaki: ton kulit cerah
🧗🏼‍♀	pendaki, ton kulit sederhana cerah, wanita mendaki, wanita mendaki: ton kulit sederhana cerah
🧗🏽‍♀	pendaki, ton kulit sederhana, wanita mendaki, wanita mendaki: ton kulit sederhana
🧗🏾‍♀	pendaki, ton kulit sederhana gelap, wanita mendaki, wanita mendaki: ton kulit sederhana gelap
🧗🏿‍♀	pendaki, ton kulit gelap, wanita mendaki, wanita mendaki: ton kulit gelap
🧗🏻‍♂	lelaki mendaki, lelaki mendaki: ton kulit cerah, pendaki, ton kulit cerah
🧗🏼‍♂	lelaki mendaki, lelaki mendaki: ton kulit sederhana cerah, pendaki, ton kulit sederhana cerah
🧗🏽‍♂	lelaki mendaki, lelaki mendaki: ton kulit sederhana, pendaki, ton kulit sederhana
🧗🏾‍♂	lelaki mendaki, lelaki mendaki: ton kulit sederhana gelap, pendaki, ton kulit sederhana gelap
🧗🏿‍♂	lelaki mendaki, lelaki mendaki: ton kulit gelap, pendaki, ton kulit gelap
🧘🏻	orang dalam kedudukan teratai, orang dalam kedudukan teratai: ton kulit cerah, tafakur, ton kulit cerah, yoga
🧘🏼	orang dalam kedudukan teratai, orang dalam kedudukan teratai: ton kulit sederhana cerah, tafakur, ton kulit sederhana cerah, yoga
🧘🏽	orang dalam kedudukan teratai, orang dalam kedudukan teratai: ton kulit sederhana, tafakur, ton kulit sederhana, yoga
🧘🏾	orang dalam kedudukan teratai, orang dalam kedudukan teratai: ton kulit sederhana gelap, tafakur, ton kulit sederhana gelap, yoga
🧘🏿	orang dalam kedudukan teratai, orang dalam kedudukan teratai: ton kulit gelap, tafakur, ton kulit gelap, yoga
