‾	горна црта
🦹🏼‍♀	жена, жена супернегативец, жена супернегативец: тип на кожа 3, зло, криминалец, негативец, суперсила, тип на кожа 3
🦹🏽‍♀	жена, жена супернегативец, жена супернегативец: тип на кожа 4, зло, криминалец, негативец, суперсила, тип на кожа 4
🦹🏾‍♀	жена, жена супернегативец, жена супернегативец: тип на кожа 5, зло, криминалец, негативец, суперсила, тип на кожа 5
🦹🏿‍♀	жена, жена супернегативец, жена супернегативец: тип на кожа 6, зло, криминалец, негативец, суперсила, тип на кожа 6
🧙	вештерка, волшебник, магичар, маѓепсник, маѓепсница
🧙🏻	вештерка, волшебник, магичар, магичар: тип на кожа 1–2, маѓепсник, маѓепсница, тип на кожа 1–2
🧙🏼	вештерка, волшебник, магичар, магичар: тип на кожа 3, маѓепсник, маѓепсница, тип на кожа 3
🧙🏽	вештерка, волшебник, магичар, магичар: тип на кожа 4, маѓепсник, маѓепсница, тип на кожа 4
🧙🏾	вештерка, волшебник, магичар, магичар: тип на кожа 5, маѓепсник, маѓепсница, тип на кожа 5
🧙🏿	вештерка, волшебник, магичар, магичар: тип на кожа 6, маѓепсник, маѓепсница, тип на кожа 6
🧙‍♂	волшебник, маж магичар, маѓепсник
🧙🏻‍♂	волшебник, маж магичар, маж магичар: тип на кожа 1–2, маѓепсник, тип на кожа 1–2
🧙🏼‍♂	волшебник, маж магичар, маж магичар: тип на кожа 3, маѓепсник, тип на кожа 3
🧙🏽‍♂	волшебник, маж магичар, маж магичар: тип на кожа 4, маѓепсник, тип на кожа 4
🧙🏾‍♂	волшебник, маж магичар, маж магичар: тип на кожа 5, маѓепсник, тип на кожа 5
🧙🏿‍♂	волшебник, маж магичар, маж магичар: тип на кожа 6, маѓепсник, тип на кожа 6
🧙‍♀	вештерка, жена магичар, маѓепсница
🧙🏻‍♀	вештерка, жена магичар, жена магичар: тип на кожа 1–2, маѓепсница, тип на кожа 1–2
🧙🏼‍♀	вештерка, жена магичар, жена магичар: тип на кожа 3, маѓепсница, тип на кожа 3
🧙🏽‍♀	вештерка, жена магичар, жена магичар: тип на кожа 4, маѓепсница, тип на кожа 4
🧙🏾‍♀	вештерка, жена магичар, жена магичар: тип на кожа 5, маѓепсница, тип на кожа 5
🧙🏿‍♀	вештерка, жена магичар, жена магичар: тип на кожа 6, маѓепсница, тип на кожа 6
🧚	Оберон, Пак, Титанија, самовила
🧚🏻	Оберон, Пак, Титанија, самовила, самовила: тип на кожа 1–2, тип на кожа 1–2
🧚🏼	Оберон, Пак, Титанија, самовила, самовила: тип на кожа 3, тип на кожа 3
🧚🏽	Оберон, Пак, Титанија, самовила, самовила: тип на кожа 4, тип на кожа 4
🧚🏾	Оберон, Пак, Титанија, самовила, самовила: тип на кожа 5, тип на кожа 5
