🦵🏻	канечнасць, нага, нага: светлы тон скуры, светлы тон скуры, удар
🧛🏻‍♂	Дракула, бессмяротны, мужчына-вампір, мужчына-вампір: светлы тон скуры, светлы тон скуры
🧛🏼‍♂	Дракула, бессмяротны, мужчына-вампір, мужчына-вампір: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🧛🏽‍♂	Дракула, бессмяротны, мужчына-вампір, мужчына-вампір: сярэдні тон скуры, сярэдні тон скуры
🧛🏾‍♂	Дракула, бессмяротны, мужчына-вампір, мужчына-вампір: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🧛🏿‍♂	Дракула, бессмяротны, мужчына-вампір, мужчына-вампір: цёмны тон скуры, цёмны тон скуры
🧜🏻	жанчына, мужчына, русалка, русалкі, русалкі: светлы тон скуры, светлы тон скуры
🧜🏼	жанчына, мужчына, русалка, русалкі, русалкі: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🧜🏽	жанчына, мужчына, русалка, русалкі, русалкі: сярэдні тон скуры, сярэдні тон скуры
🧜🏾	жанчына, мужчына, русалка, русалкі, русалкі: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🧜🏿	жанчына, мужчына, русалка, русалкі, русалкі: цёмны тон скуры, цёмны тон скуры
🧜🏻‍♀	жанчына-русалка, русалка, русалка: светлы тон скуры, светлы тон скуры
🧜🏼‍♀	жанчына-русалка, русалка, русалка: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🧜🏽‍♀	жанчына-русалка, русалка, русалка: сярэдні тон скуры, сярэдні тон скуры
🧜🏾‍♀	жанчына-русалка, русалка, русалка: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🧜🏿‍♀	жанчына-русалка, русалка, русалка: цёмны тон скуры, цёмны тон скуры
🧜🏻‍♂	Трытон, мужчына-русалка, мужчына-русалка: светлы тон скуры, светлы тон скуры
🧜🏼‍♂	Трытон, мужчына-русалка, мужчына-русалка: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🧜🏽‍♂	Трытон, мужчына-русалка, мужчына-русалка: сярэдні тон скуры, сярэдні тон скуры
🧜🏾‍♂	Трытон, мужчына-русалка, мужчына-русалка: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🧜🏿‍♂	Трытон, мужчына-русалка, мужчына-русалка: цёмны тон скуры, цёмны тон скуры
🧝🏻	казачныя, светлы тон скуры, эльф, эльф: светлы тон скуры
🧝🏼	казачныя, сярэдне-светлы тон скуры, эльф, эльф: сярэдне-светлы тон скуры
🧝🏽	казачныя, сярэдні тон скуры, эльф, эльф: сярэдні тон скуры
🧝🏾	казачныя, сярэдне-цёмны тон скуры, эльф, эльф: сярэдне-цёмны тон скуры
🧝🏿	казачныя, цёмны тон скуры, эльф, эльф: цёмны тон скуры
🧝🏻‍♀	казачная, светлы тон скуры, эльфійка, эльфійка: светлы тон скуры
🧝🏼‍♀	казачная, сярэдне-светлы тон скуры, эльфійка, эльфійка: сярэдне-светлы тон скуры
🧝🏽‍♀	казачная, сярэдні тон скуры, эльфійка, эльфійка: сярэдні тон скуры
🧝🏾‍♀	казачная, сярэдне-цёмны тон скуры, эльфійка, эльфійка: сярэдне-цёмны тон скуры
🧝🏿‍♀	казачная, цёмны тон скуры, эльфійка, эльфійка: цёмны тон скуры
🧝🏻‍♂	казачны, мужчына-эльф, мужчына-эльф: светлы тон скуры, светлы тон скуры
🧝🏼‍♂	казачны, мужчына-эльф, мужчына-эльф: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🧝🏽‍♂	казачны, мужчына-эльф, мужчына-эльф: сярэдні тон скуры, сярэдні тон скуры
🧝🏾‍♂	казачны, мужчына-эльф, мужчына-эльф: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🧝🏿‍♂	казачны, мужчына-эльф, мужчына-эльф: цёмны тон скуры, цёмны тон скуры
