‾	верхняя рыса
🧏🏿	вуха, глухі, глухі чалавек, глухі чалавек: цёмны тон скуры, даступнасць, слых, цёмны тон скуры
🧏‍♂	глухі, глухі мужчына, мужчына
🧏🏻‍♂	глухі, глухі мужчына: светлы тон скуры, мужчына, светлы тон скуры
🧏🏼‍♂	глухі, глухі мужчына: сярэднясветлы тон скуры, мужчына, сярэднясветлы тон скуры
🧏🏽‍♂	глухі, глухі мужчына: сярэдні тон скуры, мужчына, сярэдні тон скуры
🧏🏾‍♂	глухі, глухі мужчына: сярэдняцёмны тон скуры, мужчына, сярэдняцёмны тон скуры
🧏🏿‍♂	глухі, глухі мужчына: цёмны тон скуры, мужчына, цёмны тон скуры
🧏‍♀	глухая, глухая жанчына, жанчына
🧏🏻‍♀	глухая, глухая жанчына: светлы тон скуры, жанчына, светлы тон скуры
🧏🏼‍♀	глухая, глухая жанчына: сярэднясветлы тон скуры, жанчына, сярэднясветлы тон скуры
🧏🏽‍♀	глухая, глухая жанчына: сярэдні тон скуры, жанчына, сярэдні тон скуры
🧏🏾‍♀	глухая, глухая жанчына: сярэдняцёмны тон скуры, жанчына, сярэдняцёмны тон скуры
🧏🏿‍♀	глухая, глухая жанчына: цёмны тон скуры, жанчына, цёмны тон скуры
🙇	выбачэнне, кланяцца, прабач, чалавек кланяецца
🙇🏻	выбачэнне, кланяцца, прабач, светлы тон скуры, чалавек кланяецца, чалавек кланяецца: светлы тон скуры
🙇🏼	выбачэнне, кланяцца, прабач, сярэднясветлы тон скуры, чалавек кланяецца, чалавек кланяецца: сярэднясветлы тон скуры
🙇🏽	выбачэнне, кланяцца, прабач, сярэдні тон скуры, чалавек кланяецца, чалавек кланяецца: сярэдні тон скуры
🙇🏾	выбачэнне, кланяцца, прабач, сярэдняцёмны тон скуры, чалавек кланяецца, чалавек кланяецца: сярэдняцёмны тон скуры
🙇🏿	выбачэнне, кланяцца, прабач, цёмны тон скуры, чалавек кланяецца, чалавек кланяецца: цёмны тон скуры
🙇‍♂	жэст, мужчына, мужчына нізка кланяецца, павага, прабач
🙇🏻‍♂	жэст, мужчына, мужчына нізка кланяецца, мужчына нізка кланяецца: светлы тон скуры, павага, прабач, светлы тон скуры
🙇🏼‍♂	жэст, мужчына, мужчына нізка кланяецца, мужчына нізка кланяецца: сярэднясветлы тон скуры, павага, прабач, сярэднясветлы тон скуры
