🦵🏻	άκρο, ανοιχτόχρωμος τόνος δέρματος, κλωτσιά, πόδι, πόδι: ανοιχτόχρωμος τόνος δέρματος
🧛🏼	Δράκουλας, απέθαντος, βρυκόλακας, βρυκόλακας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧛🏽	Δράκουλας, απέθαντος, βρυκόλακας, βρυκόλακας: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος
🧛🏾	Δράκουλας, απέθαντος, βρυκόλακας, βρυκόλακας: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
🧛🏿	Δράκουλας, απέθαντος, βρυκόλακας, βρυκόλακας: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🧛🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, απέθαντος, γυναίκα βρυκόλακας, γυναίκα βρυκόλακας: ανοιχτόχρωμος τόνος δέρματος
🧛🏼‍♀	απέθαντος, γυναίκα βρυκόλακας, γυναίκα βρυκόλακας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧛🏽‍♀	απέθαντος, γυναίκα βρυκόλακας, γυναίκα βρυκόλακας: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος
🧛🏾‍♀	απέθαντος, γυναίκα βρυκόλακας, γυναίκα βρυκόλακας: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
🧛🏿‍♀	απέθαντος, γυναίκα βρυκόλακας, γυναίκα βρυκόλακας: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🧛🏻‍♂	Δράκουλας, άντρας βρυκόλακας, άντρας βρυκόλακας: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, απέθαντος
🧛🏼‍♂	Δράκουλας, άντρας βρυκόλακας, άντρας βρυκόλακας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, απέθαντος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧛🏽‍♂	Δράκουλας, άντρας βρυκόλακας, άντρας βρυκόλακας: μεσαίος τόνος δέρματος, απέθαντος, μεσαίος τόνος δέρματος
🧛🏾‍♂	Δράκουλας, άντρας βρυκόλακας, άντρας βρυκόλακας: μεσαίος-σκούρος τόνος δέρματος, απέθαντος, μεσαίος-σκούρος τόνος δέρματος
🧛🏿‍♂	Δράκουλας, άντρας βρυκόλακας, άντρας βρυκόλακας: σκούρος τόνος δέρματος, απέθαντος, σκούρος τόνος δέρματος
🧜🏻	ανοιχτόχρωμος τόνος δέρματος, γοργόνα, γοργόνα: ανοιχτόχρωμος τόνος δέρματος, γοργόνος
🧜🏼	γοργόνα, γοργόνα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, γοργόνος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧜🏽	γοργόνα, γοργόνα: μεσαίος τόνος δέρματος, γοργόνος, μεσαίος τόνος δέρματος
🧜🏾	γοργόνα, γοργόνα: μεσαίος-σκούρος τόνος δέρματος, γοργόνος, μεσαίος-σκούρος τόνος δέρματος
🧜🏿	γοργόνα, γοργόνα: σκούρος τόνος δέρματος, γοργόνος, σκούρος τόνος δέρματος
🧜🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γοργόνα, γυναίκα γοργόνα, γυναίκα γοργόνα: ανοιχτόχρωμος τόνος δέρματος
🧜🏼‍♀	γοργόνα, γυναίκα γοργόνα, γυναίκα γοργόνα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧜🏽‍♀	γοργόνα, γυναίκα γοργόνα, γυναίκα γοργόνα: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος
🧜🏾‍♀	γοργόνα, γυναίκα γοργόνα, γυναίκα γοργόνα: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
🧜🏿‍♀	γοργόνα, γυναίκα γοργόνα, γυναίκα γοργόνα: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🧜🏻‍♂	Triton, ανοιχτόχρωμος τόνος δέρματος, γοργόνος, γοργόνος: ανοιχτόχρωμος τόνος δέρματος
🧜🏼‍♂	Triton, γοργόνος, γοργόνος: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧜🏽‍♂	Triton, γοργόνος, γοργόνος: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος
🧜🏾‍♂	Triton, γοργόνος, γοργόνος: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
🧜🏿‍♂	Triton, γοργόνος, γοργόνος: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🧝🏻	ανοιχτόχρωμος τόνος δέρματος, μαγικό, ξωτικό, ξωτικό: ανοιχτόχρωμος τόνος δέρματος
🧝🏼	μαγικό, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ξωτικό, ξωτικό: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧝🏽	μαγικό, μεσαίος τόνος δέρματος, ξωτικό, ξωτικό: μεσαίος τόνος δέρματος
🧝🏾	μαγικό, μεσαίος-σκούρος τόνος δέρματος, ξωτικό, ξωτικό: μεσαίος-σκούρος τόνος δέρματος
🧝🏿	μαγικό, ξωτικό, ξωτικό: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🧝🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα ξωτικό, γυναίκα ξωτικό: ανοιχτόχρωμος τόνος δέρματος, μαγική
🧝🏼‍♀	γυναίκα ξωτικό, γυναίκα ξωτικό: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μαγική, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧝🏽‍♀	γυναίκα ξωτικό, γυναίκα ξωτικό: μεσαίος τόνος δέρματος, μαγική, μεσαίος τόνος δέρματος
🧝🏾‍♀	γυναίκα ξωτικό, γυναίκα ξωτικό: μεσαίος-σκούρος τόνος δέρματος, μαγική, μεσαίος-σκούρος τόνος δέρματος
🧝🏿‍♀	γυναίκα ξωτικό, γυναίκα ξωτικό: σκούρος τόνος δέρματος, μαγική, σκούρος τόνος δέρματος
🧝🏻‍♂	άντρας ξωτικό, άντρας ξωτικό: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, μαγικός
🧝🏼‍♂	άντρας ξωτικό, άντρας ξωτικό: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μαγικός, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧝🏽‍♂	άντρας ξωτικό, άντρας ξωτικό: μεσαίος τόνος δέρματος, μαγικός, μεσαίος τόνος δέρματος
🧝🏾‍♂	άντρας ξωτικό, άντρας ξωτικό: μεσαίος-σκούρος τόνος δέρματος, μαγικός, μεσαίος-σκούρος τόνος δέρματος
🧝🏿‍♂	άντρας ξωτικό, άντρας ξωτικό: σκούρος τόνος δέρματος, μαγικός, σκούρος τόνος δέρματος
🙍🏻	ανοιχτόχρωμος τόνος δέρματος, κίνηση, συνοφρυωμένη γυναίκα, συνοφρυωμένη γυναίκα: ανοιχτόχρωμος τόνος δέρματος, συνοφρύωμα
🙍🏼	κίνηση, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, συνοφρυωμένη γυναίκα, συνοφρυωμένη γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, συνοφρύωμα
🙍🏽	κίνηση, μεσαίος τόνος δέρματος, συνοφρυωμένη γυναίκα, συνοφρυωμένη γυναίκα: μεσαίος τόνος δέρματος, συνοφρύωμα
🙍🏾	κίνηση, μεσαίος-σκούρος τόνος δέρματος, συνοφρυωμένη γυναίκα, συνοφρυωμένη γυναίκα: μεσαίος-σκούρος τόνος δέρματος, συνοφρύωμα
🙍🏿	κίνηση, σκούρος τόνος δέρματος, συνοφρυωμένη γυναίκα, συνοφρυωμένη γυναίκα: σκούρος τόνος δέρματος, συνοφρύωμα
🙍🏻‍♂	άντρας, ανοιχτόχρωμος τόνος δέρματος, θλίψη, μορφασμός, συνοφρυωμένος, συνοφρυωμένος: ανοιχτόχρωμος τόνος δέρματος
🙍🏼‍♂	άντρας, θλίψη, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μορφασμός, συνοφρυωμένος, συνοφρυωμένος: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🙍🏽‍♂	άντρας, θλίψη, μεσαίος τόνος δέρματος, μορφασμός, συνοφρυωμένος, συνοφρυωμένος: μεσαίος τόνος δέρματος
🙍🏾‍♂	άντρας, θλίψη, μεσαίος-σκούρος τόνος δέρματος, μορφασμός, συνοφρυωμένος, συνοφρυωμένος: μεσαίος-σκούρος τόνος δέρματος
🙍🏿‍♂	άντρας, θλίψη, μορφασμός, σκούρος τόνος δέρματος, συνοφρυωμένος, συνοφρυωμένος: σκούρος τόνος δέρματος
🙍🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, θλίψη, μορφασμός, συνοφρυωμένη, συνοφρυωμένη: ανοιχτόχρωμος τόνος δέρματος
🙍🏼‍♀	γυναίκα, θλίψη, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μορφασμός, συνοφρυωμένη, συνοφρυωμένη: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
