🦵🏻	končetina, kopanec, kopnutí, noha, noha: světlý odstín pleti, světlý odstín pleti
✋🏼	ruka, středně světlý odstín pleti, tělo, zvednutá ruka, zvednutá ruka: středně světlý odstín pleti
✋🏽	ruka, střední odstín pleti, tělo, zvednutá ruka, zvednutá ruka: střední odstín pleti
✋🏾	ruka, středně tmavý odstín pleti, tělo, zvednutá ruka, zvednutá ruka: středně tmavý odstín pleti
✋🏿	ruka, tmavý odstín pleti, tělo, zvednutá ruka, zvednutá ruka: tmavý odstín pleti
👌🏻	OK, gesto OK, gesto OK: světlý odstín pleti, ruka, světlý odstín pleti, tělo
👌🏼	OK, gesto OK, gesto OK: středně světlý odstín pleti, ruka, středně světlý odstín pleti, tělo
👌🏽	OK, gesto OK, gesto OK: střední odstín pleti, ruka, střední odstín pleti, tělo
👌🏾	OK, gesto OK, gesto OK: středně tmavý odstín pleti, ruka, středně tmavý odstín pleti, tělo
👌🏿	OK, gesto OK, gesto OK: tmavý odstín pleti, ruka, tmavý odstín pleti, tělo
👍🏻	+1, nahoru, palec, palec nahoru: světlý odstín pleti, ruka, světlý odstín pleti, tělo
👍🏼	+1, nahoru, palec, palec nahoru: středně světlý odstín pleti, ruka, středně světlý odstín pleti, tělo
👍🏽	+1, nahoru, palec, palec nahoru: střední odstín pleti, ruka, střední odstín pleti, tělo
👍🏾	+1, nahoru, palec, palec nahoru: středně tmavý odstín pleti, ruka, středně tmavý odstín pleti, tělo
👍🏿	+1, nahoru, palec, palec nahoru: tmavý odstín pleti, ruka, tmavý odstín pleti, tělo
👎🏻	-1, dolů, palec, palec dolů: světlý odstín pleti, ruka, světlý odstín pleti, tělo
👎🏼	-1, dolů, palec, palec dolů: středně světlý odstín pleti, ruka, středně světlý odstín pleti, tělo
👎🏽	-1, dolů, palec, palec dolů: střední odstín pleti, ruka, střední odstín pleti, tělo
👎🏾	-1, dolů, palec, palec dolů: středně tmavý odstín pleti, ruka, středně tmavý odstín pleti, tělo
👎🏿	-1, dolů, palec, palec dolů: tmavý odstín pleti, ruka, tmavý odstín pleti, tělo
✊🏻	pěst, ruka, světlý odstín pleti, tělo, zaťatá, zvednutá pěst, zvednutá pěst: světlý odstín pleti, úder
✊🏼	pěst, ruka, středně světlý odstín pleti, tělo, zaťatá, zvednutá pěst, zvednutá pěst: středně světlý odstín pleti, úder
✊🏽	pěst, ruka, střední odstín pleti, tělo, zaťatá, zvednutá pěst, zvednutá pěst: střední odstín pleti, úder
✊🏾	pěst, ruka, středně tmavý odstín pleti, tělo, zaťatá, zvednutá pěst, zvednutá pěst: středně tmavý odstín pleti, úder
✊🏿	pěst, ruka, tmavý odstín pleti, tělo, zaťatá, zvednutá pěst, zvednutá pěst: tmavý odstín pleti, úder
👊🏻	namířená pěst, namířená pěst: světlý odstín pleti, pěst, ruka, světlý odstín pleti, tělo, zaťatá, úder
👊🏼	namířená pěst, namířená pěst: středně světlý odstín pleti, pěst, ruka, středně světlý odstín pleti, tělo, zaťatá, úder
👊🏽	namířená pěst, namířená pěst: střední odstín pleti, pěst, ruka, střední odstín pleti, tělo, zaťatá, úder
👊🏾	namířená pěst, namířená pěst: středně tmavý odstín pleti, pěst, ruka, středně tmavý odstín pleti, tělo, zaťatá, úder
👊🏿	namířená pěst, namířená pěst: tmavý odstín pleti, pěst, ruka, tmavý odstín pleti, tělo, zaťatá, úder
🤛🏻	doleva, pěst, pěst mířící doleva, pěst mířící doleva: světlý odstín pleti, světlý odstín pleti
🤛🏼	doleva, pěst, pěst mířící doleva, pěst mířící doleva: středně světlý odstín pleti, středně světlý odstín pleti
🤛🏽	doleva, pěst, pěst mířící doleva, pěst mířící doleva: střední odstín pleti, střední odstín pleti
🤛🏾	doleva, pěst, pěst mířící doleva, pěst mířící doleva: středně tmavý odstín pleti, středně tmavý odstín pleti
🤛🏿	doleva, pěst, pěst mířící doleva, pěst mířící doleva: tmavý odstín pleti, tmavý odstín pleti
🤜🏻	doprava, pěst, pěst mířící doprava, pěst mířící doprava: světlý odstín pleti, světlý odstín pleti
🤜🏼	doprava, pěst, pěst mířící doprava, pěst mířící doprava: středně světlý odstín pleti, středně světlý odstín pleti
🤜🏽	doprava, pěst, pěst mířící doprava, pěst mířící doprava: střední odstín pleti, střední odstín pleti
🤜🏾	doprava, pěst, pěst mířící doprava, pěst mířící doprava: středně tmavý odstín pleti, středně tmavý odstín pleti
🤜🏿	doprava, pěst, pěst mířící doprava, pěst mířící doprava: tmavý odstín pleti, tmavý odstín pleti
🤚🏻	hřbet, hřbet zvednuté ruky, hřbet zvednuté ruky: světlý odstín pleti, ruka, světlý odstín pleti, zdvižená, zvednutá
🤚🏼	hřbet, hřbet zvednuté ruky, hřbet zvednuté ruky: středně světlý odstín pleti, ruka, středně světlý odstín pleti, zdvižená, zvednutá
🤚🏽	hřbet, hřbet zvednuté ruky, hřbet zvednuté ruky: střední odstín pleti, ruka, střední odstín pleti, zdvižená, zvednutá
🤚🏾	hřbet, hřbet zvednuté ruky, hřbet zvednuté ruky: středně tmavý odstín pleti, ruka, středně tmavý odstín pleti, zdvižená, zvednutá
🤚🏿	hřbet, hřbet zvednuté ruky, hřbet zvednuté ruky: tmavý odstín pleti, ruka, tmavý odstín pleti, zdvižená, zvednutá
👋🏻	mávající ruka, mávající ruka: světlý odstín pleti, mávat, mávání, ruka, světlý odstín pleti, tělo
👋🏼	mávající ruka, mávající ruka: středně světlý odstín pleti, mávat, mávání, ruka, středně světlý odstín pleti, tělo
👋🏽	mávající ruka, mávající ruka: střední odstín pleti, mávat, mávání, ruka, střední odstín pleti, tělo
👋🏾	mávající ruka, mávající ruka: středně tmavý odstín pleti, mávat, mávání, ruka, středně tmavý odstín pleti, tělo
👋🏿	mávající ruka, mávající ruka: tmavý odstín pleti, mávat, mávání, ruka, tmavý odstín pleti, tělo
🤟🏻	gesto, gesto „miluji tě“, gesto „miluji tě“: světlý odstín pleti, láska, miluju, ruka, světlý odstín pleti
🤟🏼	gesto, gesto „miluji tě“, gesto „miluji tě“: středně světlý odstín pleti, láska, miluju, ruka, středně světlý odstín pleti
🤟🏽	gesto, gesto „miluji tě“, gesto „miluji tě“: střední odstín pleti, láska, miluju, ruka, střední odstín pleti
🤟🏾	gesto, gesto „miluji tě“, gesto „miluji tě“: středně tmavý odstín pleti, láska, miluju, ruka, středně tmavý odstín pleti
🤟🏿	gesto, gesto „miluji tě“, gesto „miluji tě“: tmavý odstín pleti, láska, miluju, ruka, tmavý odstín pleti
✍🏻	psát, píšící ruka, píšící ruka: světlý odstín pleti, ruka, světlý odstín pleti, tělo
✍🏼	psát, píšící ruka, píšící ruka: středně světlý odstín pleti, ruka, středně světlý odstín pleti, tělo
✍🏽	psát, píšící ruka, píšící ruka: střední odstín pleti, ruka, střední odstín pleti, tělo
✍🏾	psát, píšící ruka, píšící ruka: středně tmavý odstín pleti, ruka, středně tmavý odstín pleti, tělo
✍🏿	psát, píšící ruka, píšící ruka: tmavý odstín pleti, ruka, tmavý odstín pleti, tělo
👏🏻	ruka, světlý odstín pleti, tleskající ruce, tleskající ruce: světlý odstín pleti, tleskat, tělo
👏🏼	ruka, středně světlý odstín pleti, tleskající ruce, tleskající ruce: středně světlý odstín pleti, tleskat, tělo
👏🏽	ruka, střední odstín pleti, tleskající ruce, tleskající ruce: střední odstín pleti, tleskat, tělo
👏🏾	ruka, středně tmavý odstín pleti, tleskající ruce, tleskající ruce: středně tmavý odstín pleti, tleskat, tělo
👏🏿	ruka, tleskající ruce, tleskající ruce: tmavý odstín pleti, tleskat, tmavý odstín pleti, tělo
👐🏻	otevřený, rozevřené dlaně, rozevřené dlaně: světlý odstín pleti, ruka, světlý odstín pleti, tělo
👐🏼	otevřený, rozevřené dlaně, rozevřené dlaně: středně světlý odstín pleti, ruka, středně světlý odstín pleti, tělo
👐🏽	otevřený, rozevřené dlaně, rozevřené dlaně: střední odstín pleti, ruka, střední odstín pleti, tělo
👐🏾	otevřený, rozevřené dlaně, rozevřené dlaně: středně tmavý odstín pleti, ruka, středně tmavý odstín pleti, tělo
👐🏿	otevřený, rozevřené dlaně, rozevřené dlaně: tmavý odstín pleti, ruka, tmavý odstín pleti, tělo
🙌🏻	gesto, hurá, oslava, ruka, světlý odstín pleti, tělo, zdvižená, zvednutá, zvednuté ruce, zvednuté ruce: světlý odstín pleti
🙌🏼	gesto, hurá, oslava, ruka, středně světlý odstín pleti, tělo, zdvižená, zvednutá, zvednuté ruce, zvednuté ruce: středně světlý odstín pleti
🙌🏽	gesto, hurá, oslava, ruka, střední odstín pleti, tělo, zdvižená, zvednutá, zvednuté ruce, zvednuté ruce: střední odstín pleti
🙌🏾	gesto, hurá, oslava, ruka, středně tmavý odstín pleti, tělo, zdvižená, zvednutá, zvednuté ruce, zvednuté ruce: středně tmavý odstín pleti
🙌🏿	gesto, hurá, oslava, ruka, tmavý odstín pleti, tělo, zdvižená, zvednutá, zvednuté ruce, zvednuté ruce: tmavý odstín pleti
🤲🏻	prosba, světlý odstín pleti, zdvižené dlaně vedle sebe, zdvižené dlaně vedle sebe: světlý odstín pleti
🤲🏼	prosba, středně světlý odstín pleti, zdvižené dlaně vedle sebe, zdvižené dlaně vedle sebe: středně světlý odstín pleti
🤲🏽	prosba, střední odstín pleti, zdvižené dlaně vedle sebe, zdvižené dlaně vedle sebe: střední odstín pleti
🤲🏾	prosba, středně tmavý odstín pleti, zdvižené dlaně vedle sebe, zdvižené dlaně vedle sebe: středně tmavý odstín pleti
🤲🏿	prosba, tmavý odstín pleti, zdvižené dlaně vedle sebe, zdvižené dlaně vedle sebe: tmavý odstín pleti
🙏🏻	díky, gesto, modlitba, otázka, prosím, ruka, sepjaté, sepjaté ruce, sepjaté ruce: světlý odstín pleti, světlý odstín pleti, tělo, úklona
🙏🏼	díky, gesto, modlitba, otázka, prosím, ruka, sepjaté, sepjaté ruce, sepjaté ruce: středně světlý odstín pleti, středně světlý odstín pleti, tělo, úklona
🙏🏽	díky, gesto, modlitba, otázka, prosím, ruka, sepjaté, sepjaté ruce, sepjaté ruce: střední odstín pleti, střední odstín pleti, tělo, úklona
🙏🏾	díky, gesto, modlitba, otázka, prosím, ruka, sepjaté, sepjaté ruce, sepjaté ruce: středně tmavý odstín pleti, středně tmavý odstín pleti, tělo, úklona
🙏🏿	díky, gesto, modlitba, otázka, prosím, ruka, sepjaté, sepjaté ruce, sepjaté ruce: tmavý odstín pleti, tmavý odstín pleti, tělo, úklona
💅🏻	kosmetika, lak, lak na nehty, lak na nehty: světlý odstín pleti, manikúra, nehet, péče, světlý odstín pleti, tělo
💅🏼	kosmetika, lak, lak na nehty, lak na nehty: středně světlý odstín pleti, manikúra, nehet, péče, středně světlý odstín pleti, tělo
💅🏽	kosmetika, lak, lak na nehty, lak na nehty: střední odstín pleti, manikúra, nehet, péče, střední odstín pleti, tělo
💅🏾	kosmetika, lak, lak na nehty, lak na nehty: středně tmavý odstín pleti, manikúra, nehet, péče, středně tmavý odstín pleti, tělo
💅🏿	kosmetika, lak, lak na nehty, lak na nehty: tmavý odstín pleti, manikúra, nehet, péče, tmavý odstín pleti, tělo
👂🏻	světlý odstín pleti, tělo, ucho, ucho: světlý odstín pleti
👂🏼	středně světlý odstín pleti, tělo, ucho, ucho: středně světlý odstín pleti
👂🏽	střední odstín pleti, tělo, ucho, ucho: střední odstín pleti
👂🏾	středně tmavý odstín pleti, tělo, ucho, ucho: středně tmavý odstín pleti
👂🏿	tmavý odstín pleti, tělo, ucho, ucho: tmavý odstín pleti
👃🏻	nos, nos: světlý odstín pleti, světlý odstín pleti, tělo
👃🏼	nos, nos: středně světlý odstín pleti, středně světlý odstín pleti, tělo
👃🏽	nos, nos: střední odstín pleti, střední odstín pleti, tělo
👃🏾	nos, nos: středně tmavý odstín pleti, středně tmavý odstín pleti, tělo
👃🏿	nos, nos: tmavý odstín pleti, tmavý odstín pleti, tělo
#⃣	klávesy, klávesy: #
*⃣	klávesy, klávesy: *
🔟	klávesy, klávesy: 10
🇦🇨	vlajka, vlajka: Ascension
🇦🇩	vlajka, vlajka: Andorra
🇦🇪	vlajka, vlajka: Spojené arabské emiráty
🇦🇫	vlajka, vlajka: Afghánistán
🇦🇬	vlajka, vlajka: Antigua a Barbuda
🇦🇮	vlajka, vlajka: Anguilla
🇦🇱	vlajka, vlajka: Albánie
🇦🇲	vlajka, vlajka: Arménie
🇦🇴	vlajka, vlajka: Angola
🇦🇶	vlajka, vlajka: Antarktida
🇦🇷	vlajka, vlajka: Argentina
🇦🇸	vlajka, vlajka: Americká Samoa
🇦🇹	vlajka, vlajka: Rakousko
🇦🇺	vlajka, vlajka: Austrálie
🇦🇼	vlajka, vlajka: Aruba
🇦🇽	vlajka, vlajka: Ålandy
🇦🇿	vlajka, vlajka: Ázerbájdžán
🇧🇦	vlajka, vlajka: Bosna a Hercegovina
🇧🇧	vlajka, vlajka: Barbados
🇧🇩	vlajka, vlajka: Bangladéš
🇧🇪	vlajka, vlajka: Belgie
🇧🇫	vlajka, vlajka: Burkina Faso
🇧🇬	vlajka, vlajka: Bulharsko
🇧🇭	vlajka, vlajka: Bahrajn
🇧🇮	vlajka, vlajka: Burundi
🇧🇯	vlajka, vlajka: Benin
🇧🇱	vlajka, vlajka: Svatý Bartoloměj
🇧🇲	vlajka, vlajka: Bermudy
🇧🇳	vlajka, vlajka: Brunej
🇧🇴	vlajka, vlajka: Bolívie
🇧🇶	vlajka, vlajka: Karibské Nizozemsko
🇧🇷	vlajka, vlajka: Brazílie
🇧🇸	vlajka, vlajka: Bahamy
🇧🇹	vlajka, vlajka: Bhútán
🇧🇻	vlajka, vlajka: Bouvetův ostrov
🇧🇼	vlajka, vlajka: Botswana
🇧🇾	vlajka, vlajka: Bělorusko
🇧🇿	vlajka, vlajka: Belize
🇨🇦	vlajka, vlajka: Kanada
🇨🇨	vlajka, vlajka: Kokosové ostrovy
🇨🇩	vlajka, vlajka: Kongo – Kinshasa
🇨🇫	vlajka, vlajka: Středoafrická republika
🇨🇬	vlajka, vlajka: Kongo – Brazzaville
🇨🇭	vlajka, vlajka: Švýcarsko
🇨🇮	vlajka, vlajka: Pobřeží slonoviny
🇨🇰	vlajka, vlajka: Cookovy ostrovy
🇨🇱	vlajka, vlajka: Chile
🇨🇲	vlajka, vlajka: Kamerun
🇨🇳	vlajka, vlajka: Čína
🇨🇴	vlajka, vlajka: Kolumbie
🇨🇵	vlajka, vlajka: Clippertonův ostrov
🇨🇷	vlajka, vlajka: Kostarika
🇨🇺	vlajka, vlajka: Kuba
🇨🇻	vlajka, vlajka: Kapverdy
🇨🇼	vlajka, vlajka: Curaçao
🇨🇽	vlajka, vlajka: Vánoční ostrov
🇨🇾	vlajka, vlajka: Kypr
🇨🇿	vlajka, vlajka: Česko
🇩🇪	vlajka, vlajka: Německo
🇩🇬	vlajka, vlajka: Diego García
🇩🇯	vlajka, vlajka: Džibutsko
🇩🇰	vlajka, vlajka: Dánsko
🇩🇲	vlajka, vlajka: Dominika
🇩🇴	vlajka, vlajka: Dominikánská republika
🇩🇿	vlajka, vlajka: Alžírsko
🇪🇦	vlajka, vlajka: Ceuta a Melilla
🇪🇨	vlajka, vlajka: Ekvádor
🇪🇪	vlajka, vlajka: Estonsko
🇪🇬	vlajka, vlajka: Egypt
🇪🇭	vlajka, vlajka: Západní Sahara
🇪🇷	vlajka, vlajka: Eritrea
🇪🇸	vlajka, vlajka: Španělsko
🇪🇹	vlajka, vlajka: Etiopie
🇪🇺	vlajka, vlajka: Evropská unie
🇫🇮	vlajka, vlajka: Finsko
🇫🇯	vlajka, vlajka: Fidži
🇫🇰	vlajka, vlajka: Falklandské ostrovy
🇫🇲	vlajka, vlajka: Mikronésie
🇫🇴	vlajka, vlajka: Faerské ostrovy
🇫🇷	vlajka, vlajka: Francie
🇬🇦	vlajka, vlajka: Gabon
🇬🇧	vlajka, vlajka: Spojené království
🇬🇩	vlajka, vlajka: Grenada
🇬🇪	vlajka, vlajka: Gruzie
🇬🇫	vlajka, vlajka: Francouzská Guyana
🇬🇬	vlajka, vlajka: Guernsey
🇬🇭	vlajka, vlajka: Ghana
🇬🇮	vlajka, vlajka: Gibraltar
🇬🇱	vlajka, vlajka: Grónsko
🇬🇲	vlajka, vlajka: Gambie
🇬🇳	vlajka, vlajka: Guinea
🇬🇵	vlajka, vlajka: Guadeloupe
🇬🇶	vlajka, vlajka: Rovníková Guinea
🇬🇷	vlajka, vlajka: Řecko
🇬🇸	vlajka, vlajka: Jižní Georgie a Jižní Sandwichovy ostrovy
🇬🇹	vlajka, vlajka: Guatemala
🇬🇺	vlajka, vlajka: Guam
🇬🇼	vlajka, vlajka: Guinea-Bissau
🇬🇾	vlajka, vlajka: Guyana
🇭🇰	vlajka, vlajka: Hongkong – ZAO Číny
🇭🇲	vlajka, vlajka: Heardův ostrov a McDonaldovy ostrovy
🇭🇳	vlajka, vlajka: Honduras
🇭🇷	vlajka, vlajka: Chorvatsko
🇭🇹	vlajka, vlajka: Haiti
🇭🇺	vlajka, vlajka: Maďarsko
🇮🇨	vlajka, vlajka: Kanárské ostrovy
🇮🇩	vlajka, vlajka: Indonésie
🇮🇪	vlajka, vlajka: Irsko
🇮🇱	vlajka, vlajka: Izrael
🇮🇲	vlajka, vlajka: Ostrov Man
🇮🇳	vlajka, vlajka: Indie
🇮🇴	vlajka, vlajka: Britské indickooceánské území
🇮🇶	vlajka, vlajka: Irák
🇮🇷	vlajka, vlajka: Írán
🇮🇸	vlajka, vlajka: Island
🇮🇹	vlajka, vlajka: Itálie
🇯🇪	vlajka, vlajka: Jersey
🇯🇲	vlajka, vlajka: Jamajka
🇯🇴	vlajka, vlajka: Jordánsko
🇯🇵	vlajka, vlajka: Japonsko
🇰🇪	vlajka, vlajka: Keňa
🇰🇬	vlajka, vlajka: Kyrgyzstán
🇰🇭	vlajka, vlajka: Kambodža
🇰🇮	vlajka, vlajka: Kiribati
🇰🇲	vlajka, vlajka: Komory
🇰🇳	vlajka, vlajka: Svatý Kryštof a Nevis
🇰🇵	vlajka, vlajka: Severní Korea
🇰🇷	vlajka, vlajka: Jižní Korea
🇰🇼	vlajka, vlajka: Kuvajt
🇰🇾	vlajka, vlajka: Kajmanské ostrovy
🇰🇿	vlajka, vlajka: Kazachstán
🇱🇦	vlajka, vlajka: Laos
🇱🇧	vlajka, vlajka: Libanon
🇱🇨	vlajka, vlajka: Svatá Lucie
🇱🇮	vlajka, vlajka: Lichtenštejnsko
🇱🇰	vlajka, vlajka: Srí Lanka
🇱🇷	vlajka, vlajka: Libérie
🇱🇸	vlajka, vlajka: Lesotho
🇱🇹	vlajka, vlajka: Litva
🇱🇺	vlajka, vlajka: Lucembursko
🇱🇻	vlajka, vlajka: Lotyšsko
🇱🇾	vlajka, vlajka: Libye
🇲🇦	vlajka, vlajka: Maroko
🇲🇨	vlajka, vlajka: Monako
🇲🇩	vlajka, vlajka: Moldavsko
🇲🇪	vlajka, vlajka: Černá Hora
🇲🇫	vlajka, vlajka: Svatý Martin (Francie)
🇲🇬	vlajka, vlajka: Madagaskar
🇲🇭	vlajka, vlajka: Marshallovy ostrovy
🇲🇰	vlajka, vlajka: Makedonie
🇲🇱	vlajka, vlajka: Mali
🇲🇲	vlajka, vlajka: Myanmar (Barma)
🇲🇳	vlajka, vlajka: Mongolsko
🇲🇴	vlajka, vlajka: Macao – ZAO Číny
🇲🇵	vlajka, vlajka: Severní Mariany
🇲🇶	vlajka, vlajka: Martinik
🇲🇷	vlajka, vlajka: Mauritánie
🇲🇸	vlajka, vlajka: Montserrat
🇲🇹	vlajka, vlajka: Malta
🇲🇺	vlajka, vlajka: Mauricius
🇲🇻	vlajka, vlajka: Maledivy
🇲🇼	vlajka, vlajka: Malawi
🇲🇽	vlajka, vlajka: Mexiko
🇲🇾	vlajka, vlajka: Malajsie
🇲🇿	vlajka, vlajka: Mosambik
🇳🇦	vlajka, vlajka: Namibie
🇳🇨	vlajka, vlajka: Nová Kaledonie
🇳🇪	vlajka, vlajka: Niger
🇳🇫	vlajka, vlajka: Norfolk
🇳🇬	vlajka, vlajka: Nigérie
🇳🇮	vlajka, vlajka: Nikaragua
🇳🇱	vlajka, vlajka: Nizozemsko
🇳🇴	vlajka, vlajka: Norsko
🇳🇵	vlajka, vlajka: Nepál
🇳🇷	vlajka, vlajka: Nauru
🇳🇺	vlajka, vlajka: Niue
🇳🇿	vlajka, vlajka: Nový Zéland
🇴🇲	vlajka, vlajka: Omán
🇵🇦	vlajka, vlajka: Panama
🇵🇪	vlajka, vlajka: Peru
🇵🇫	vlajka, vlajka: Francouzská Polynésie
🇵🇬	vlajka, vlajka: Papua-Nová Guinea
🇵🇭	vlajka, vlajka: Filipíny
🇵🇰	vlajka, vlajka: Pákistán
🇵🇱	vlajka, vlajka: Polsko
🇵🇲	vlajka, vlajka: Saint-Pierre a Miquelon
🇵🇳	vlajka, vlajka: Pitcairnovy ostrovy
🇵🇷	vlajka, vlajka: Portoriko
🇵🇸	vlajka, vlajka: Palestinská území
🇵🇹	vlajka, vlajka: Portugalsko
🇵🇼	vlajka, vlajka: Palau
🇵🇾	vlajka, vlajka: Paraguay
🇶🇦	vlajka, vlajka: Katar
🇷🇪	vlajka, vlajka: Réunion
🇷🇴	vlajka, vlajka: Rumunsko
🇷🇸	vlajka, vlajka: Srbsko
🇷🇺	vlajka, vlajka: Rusko
🇷🇼	vlajka, vlajka: Rwanda
🇸🇦	vlajka, vlajka: Saúdská Arábie
🇸🇧	vlajka, vlajka: Šalamounovy ostrovy
🇸🇨	vlajka, vlajka: Seychely
🇸🇩	vlajka, vlajka: Súdán
🇸🇪	vlajka, vlajka: Švédsko
🇸🇬	vlajka, vlajka: Singapur
🇸🇭	vlajka, vlajka: Svatá Helena
🇸🇮	vlajka, vlajka: Slovinsko
🇸🇯	vlajka, vlajka: Špicberky a Jan Mayen
🇸🇰	vlajka, vlajka: Slovensko
🇸🇱	vlajka, vlajka: Sierra Leone
🇸🇲	vlajka, vlajka: San Marino
🇸🇳	vlajka, vlajka: Senegal
🇸🇴	vlajka, vlajka: Somálsko
🇸🇷	vlajka, vlajka: Surinam
🇸🇸	vlajka, vlajka: Jižní Súdán
🇸🇹	vlajka, vlajka: Svatý Tomáš a Princův ostrov
🇸🇻	vlajka, vlajka: Salvador
🇸🇽	vlajka, vlajka: Svatý Martin (Nizozemsko)
🇸🇾	vlajka, vlajka: Sýrie
🇸🇿	vlajka, vlajka: Svazijsko
🇹🇦	vlajka, vlajka: Tristan da Cunha
🇹🇨	vlajka, vlajka: Turks a Caicos
🇹🇩	vlajka, vlajka: Čad
🇹🇫	vlajka, vlajka: Francouzská jižní území
🇹🇬	vlajka, vlajka: Togo
🇹🇭	vlajka, vlajka: Thajsko
🇹🇯	vlajka, vlajka: Tádžikistán
🇹🇰	vlajka, vlajka: Tokelau
🇹🇱	vlajka, vlajka: Východní Timor
🇹🇲	vlajka, vlajka: Turkmenistán
🇹🇳	vlajka, vlajka: Tunisko
🇹🇴	vlajka, vlajka: Tonga
🇹🇷	vlajka, vlajka: Turecko
🇹🇹	vlajka, vlajka: Trinidad a Tobago
🇹🇻	vlajka, vlajka: Tuvalu
🇹🇼	vlajka, vlajka: Tchaj-wan
🇹🇿	vlajka, vlajka: Tanzanie
🇺🇦	vlajka, vlajka: Ukrajina
🇺🇬	vlajka, vlajka: Uganda
🇺🇲	vlajka, vlajka: Menší odlehlé ostrovy USA
🇺🇳	vlajka, vlajka: Organizace spojených národů
🇺🇸	vlajka, vlajka: Spojené státy
🇺🇾	vlajka, vlajka: Uruguay
🇺🇿	vlajka, vlajka: Uzbekistán
🇻🇦	vlajka, vlajka: Vatikán
🇻🇨	vlajka, vlajka: Svatý Vincenc a Grenadiny
🇻🇪	vlajka, vlajka: Venezuela
🇻🇬	vlajka, vlajka: Britské Panenské ostrovy
🇻🇮	vlajka, vlajka: Americké Panenské ostrovy
🇻🇳	vlajka, vlajka: Vietnam
🇻🇺	vlajka, vlajka: Vanuatu
🇼🇫	vlajka, vlajka: Wallis a Futuna
🇼🇸	vlajka, vlajka: Samoa
🇽🇰	vlajka, vlajka: Kosovo
🇾🇪	vlajka, vlajka: Jemen
🇾🇹	vlajka, vlajka: Mayotte
🇿🇦	vlajka, vlajka: Jihoafrická republika
🇿🇲	vlajka, vlajka: Zambie
🇿🇼	vlajka, vlajka: Zimbabwe
🏴󠁧󠁢󠁥󠁮󠁧󠁿	vlajka, vlajka: Anglie
🏴󠁧󠁢󠁳󠁣󠁴󠁿	vlajka, vlajka: Skotsko
🏴󠁧󠁢󠁷󠁬󠁳󠁿	vlajka, vlajka: Wales
0⃣	klávesy, klávesy: 0
1⃣	klávesy, klávesy: 1
2⃣	klávesy, klávesy: 2
3⃣	klávesy, klávesy: 3
4⃣	klávesy, klávesy: 4
5⃣	klávesy, klávesy: 5
6⃣	klávesy, klávesy: 6
7⃣	klávesy, klávesy: 7
8⃣	klávesy, klávesy: 8
9⃣	klávesy, klávesy: 9
