‾	надцрта
🧍🏾‍♀	жена, жена стоји: средње тамна кожа, средње тамна кожа, стоји
🧍🏿‍♀	жена, жена стоји: тамна кожа, стоји, тамна кожа
🧎	клечати, клечање, особа клечи
🧎🏻	клечати, клечање, особа клечи, особа клечи: светла кожа, светла кожа
🧎🏼	клечати, клечање, особа клечи, особа клечи: средње светла кожа, средње светла кожа
🧎🏽	клечати, клечање, ни светла ни тамна кожа, особа клечи, особа клечи: ни светла ни тамна кожа
🧎🏾	клечати, клечање, особа клечи, особа клечи: средње тамна кожа, средње тамна кожа
🧎🏿	клечати, клечање, особа клечи, особа клечи: тамна кожа, тамна кожа
🧎‍♂	клечи, човек, човек клечи
🧎🏻‍♂	клечи, светла кожа, човек, човек клечи: светла кожа
🧎🏼‍♂	клечи, средње светла кожа, човек, човек клечи: средње светла кожа
🧎🏽‍♂	клечи, ни светла ни тамна кожа, човек, човек клечи: ни светла ни тамна кожа
