😀	išsišiepti, išsišiepęs veidas, veidas
👩‍🔬	biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, moteris
👩🏻‍🔬	1 ir 2 odos tipai, biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, mokslininkė: 1 ir 2 odos tipai, moteris
👩🏼‍🔬	3 odos tipas, biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, mokslininkė: 3 odos tipas, moteris
👩🏽‍🔬	4 odos tipas, biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, mokslininkė: 4 odos tipas, moteris
👩🏾‍🔬	5 odos tipas, biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, mokslininkė: 5 odos tipas, moteris
👩🏿‍🔬	6 odos tipas, biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, mokslininkė: 6 odos tipas, moteris
👨‍💻	išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, vyras
👨🏻‍💻	1 ir 2 odos tipai, išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, technologas: 1 ir 2 odos tipai, vyras
👨🏼‍💻	3 odos tipas, išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, technologas: 3 odos tipas, vyras
👨🏽‍💻	4 odos tipas, išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, technologas: 4 odos tipas, vyras
👨🏾‍💻	5 odos tipas, išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, technologas: 5 odos tipas, vyras
👨🏿‍💻	6 odos tipas, išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, technologas: 6 odos tipas, vyras
👩‍💻	išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė
👩🏻‍💻	1 ir 2 odos tipai, išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė, technologė: 1 ir 2 odos tipai
👩🏼‍💻	3 odos tipas, išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė, technologė: 3 odos tipas
👩🏽‍💻	4 odos tipas, išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė, technologė: 4 odos tipas
👩🏾‍💻	5 odos tipas, išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė, technologė: 5 odos tipas
👩🏿‍💻	6 odos tipas, išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė, technologė: 6 odos tipas
👨‍🎤	aktorius, dainininkas, rokas, vyras, žvaigždė
👨🏻‍🎤	1 ir 2 odos tipai, aktorius, dainininkas, dainininkas: 1 ir 2 odos tipai, daininkas, linksmintojas, rokas, vyras, žvaigždė
👨🏼‍🎤	3 odos tipas, aktorius, dainininkas, dainininkas: 3 odos tipas, daininkas, linksmintojas, rokas, vyras, žvaigždė
👨🏽‍🎤	4 odos tipas, aktorius, dainininkas, dainininkas: 4 odos tipas, daininkas, linksmintojas, rokas, vyras, žvaigždė
👨🏾‍🎤	5 odos tipas, aktorius, dainininkas, dainininkas: 5 odos tipas, daininkas, linksmintojas, rokas, vyras, žvaigždė
👨🏿‍🎤	6 odos tipas, aktorius, dainininkas, dainininkas: 6 odos tipas, daininkas, linksmintojas, rokas, vyras, žvaigždė
👩‍🎤	aktorė, dainininkė, moteris, rokas, žvaigždė
👩🏻‍🎤	1 ir 2 odos tipai, aktorė, dainininkė, dainininkė: 1 ir 2 odos tipai, daininkė, linksmintoja, moteris, rokas, žvaigždė
👩🏼‍🎤	3 odos tipas, aktorė, dainininkė, dainininkė: 3 odos tipas, daininkė, linksmintoja, moteris, rokas, žvaigždė
👩🏽‍🎤	4 odos tipas, aktorė, dainininkė, dainininkė: 4 odos tipas, daininkė, linksmintoja, moteris, rokas, žvaigždė
👩🏾‍🎤	5 odos tipas, aktorė, dainininkė, dainininkė: 5 odos tipas, daininkė, linksmintoja, moteris, rokas, žvaigždė
👩🏿‍🎤	6 odos tipas, aktorė, dainininkė, dainininkė: 6 odos tipas, daininkė, linksmintoja, moteris, rokas, žvaigždė
👨‍🎨	dailininkas, paletė, vyras
👨🏻‍🎨	1 ir 2 odos tipai, dailininkas, dailininkas: 1 ir 2 odos tipai, paletė, vyras
👨🏼‍🎨	3 odos tipas, dailininkas, dailininkas: 3 odos tipas, paletė, vyras
👨🏽‍🎨	4 odos tipas, dailininkas, dailininkas: 4 odos tipas, paletė, vyras
👨🏾‍🎨	5 odos tipas, dailininkas, dailininkas: 5 odos tipas, paletė, vyras
👨🏿‍🎨	6 odos tipas, dailininkas, dailininkas: 6 odos tipas, paletė, vyras
👩‍🎨	dailininkė, moteris, paletė
👩🏻‍🎨	1 ir 2 odos tipai, dailininkė, dailininkė: 1 ir 2 odos tipai, moteris, paletė
👩🏼‍🎨	3 odos tipas, dailininkė, dailininkė: 3 odos tipas, moteris, paletė
👩🏽‍🎨	4 odos tipas, dailininkė, dailininkė: 4 odos tipas, moteris, paletė
👩🏾‍🎨	5 odos tipas, dailininkė, dailininkė: 5 odos tipas, moteris, paletė
👩🏿‍🎨	6 odos tipas, dailininkė, dailininkė: 6 odos tipas, moteris, paletė
👨‍✈	lėktuvas, pilotas, vyras
👨🏻‍✈	1 ir 2 odos tipai, lėktuvas, pilotas, pilotas: 1 ir 2 odos tipai, vyras
👨🏼‍✈	3 odos tipas, lėktuvas, pilotas, pilotas: 3 odos tipas, vyras
👨🏽‍✈	4 odos tipas, lėktuvas, pilotas, pilotas: 4 odos tipas, vyras
👨🏾‍✈	5 odos tipas, lėktuvas, pilotas, pilotas: 5 odos tipas, vyras
👨🏿‍✈	6 odos tipas, lėktuvas, pilotas, pilotas: 6 odos tipas, vyras
👩‍✈	lėktuvas, moteris, pilotė
👩🏻‍✈	1 ir 2 odos tipai, lėktuvas, moteris, pilotė, pilotė: 1 ir 2 odos tipai
👩🏼‍✈	3 odos tipas, lėktuvas, moteris, pilotė, pilotė: 3 odos tipas
👩🏽‍✈	4 odos tipas, lėktuvas, moteris, pilotė, pilotė: 4 odos tipas
👩🏾‍✈	5 odos tipas, lėktuvas, moteris, pilotė, pilotė: 5 odos tipas
👩🏿‍✈	6 odos tipas, lėktuvas, moteris, pilotė, pilotė: 6 odos tipas
👨‍🚀	astronautas, raketa, vyras
👨🏻‍🚀	1 ir 2 odos tipai, astronautas, astronautas: 1 ir 2 odos tipai, raketa, vyras
👨🏼‍🚀	3 odos tipas, astronautas, astronautas: 3 odos tipas, raketa, vyras
👨🏽‍🚀	4 odos tipas, astronautas, astronautas: 4 odos tipas, raketa, vyras
👨🏾‍🚀	5 odos tipas, astronautas, astronautas: 5 odos tipas, raketa, vyras
👨🏿‍🚀	6 odos tipas, astronautas, astronautas: 6 odos tipas, raketa, vyras
👩‍🚀	astronautė, moteris, raketa
👩🏻‍🚀	1 ir 2 odos tipai, astronautė, astronautė: 1 ir 2 odos tipai, moteris, raketa
👩🏼‍🚀	3 odos tipas, astronautė, astronautė: 3 odos tipas, moteris, raketa
👩🏽‍🚀	4 odos tipas, astronautė, astronautė: 4 odos tipas, moteris, raketa
👩🏾‍🚀	5 odos tipas, astronautė, astronautė: 5 odos tipas, moteris, raketa
👩🏿‍🚀	6 odos tipas, astronautė, astronautė: 6 odos tipas, moteris, raketa
👨‍🚒	gaisrininkas, gaisrininkų automobilis, vyras
👨🏻‍🚒	1 ir 2 odos tipai, gaisrininkas, gaisrininkas: 1 ir 2 odos tipai, gaisrininkų automobilis, vyras
👨🏼‍🚒	3 odos tipas, gaisrininkas, gaisrininkas: 3 odos tipas, gaisrininkų automobilis, vyras
👨🏽‍🚒	4 odos tipas, gaisrininkas, gaisrininkas: 4 odos tipas, gaisrininkų automobilis, vyras
👨🏾‍🚒	5 odos tipas, gaisrininkas, gaisrininkas: 5 odos tipas, gaisrininkų automobilis, vyras
👨🏿‍🚒	6 odos tipas, gaisrininkas, gaisrininkas: 6 odos tipas, gaisrininkų automobilis, vyras
👩‍🚒	gaisrininkė, gaisrininkų automobilis, moteris
👩🏻‍🚒	1 ir 2 odos tipai, gaisrininkė, gaisrininkė: 1 ir 2 odos tipai, gaisrininkų automobilis, moteris
👩🏼‍🚒	3 odos tipas, gaisrininkė, gaisrininkė: 3 odos tipas, gaisrininkų automobilis, moteris
👩🏽‍🚒	4 odos tipas, gaisrininkė, gaisrininkė: 4 odos tipas, gaisrininkų automobilis, moteris
👩🏾‍🚒	5 odos tipas, gaisrininkė, gaisrininkė: 5 odos tipas, gaisrininkų automobilis, moteris
👩🏿‍🚒	6 odos tipas, gaisrininkė, gaisrininkė: 6 odos tipas, gaisrininkų automobilis, moteris
👮	pareigūnas, policija, policininkas
👮🏻	1 ir 2 odos tipai, pareigūnas, policija, policininkas, policininkas: 1 ir 2 odos tipai
👮🏼	3 odos tipas, pareigūnas, policija, policininkas, policininkas: 3 odos tipas
👮🏽	4 odos tipas, pareigūnas, policija, policininkas, policininkas: 4 odos tipas
👮🏾	5 odos tipas, pareigūnas, policija, policininkas, policininkas: 5 odos tipas
👮🏿	6 odos tipas, pareigūnas, policija, policininkas, policininkas: 6 odos tipas
👮‍♂	pareigūnas, policija, policininkas, vyras, vyras policininkas
👮🏻‍♂	1 ir 2 odos tipai, pareigūnas, policija, policininkas, vyras, vyras policininkas: 1 ir 2 odos tipai
👮🏼‍♂	3 odos tipas, pareigūnas, policija, policininkas, vyras, vyras policininkas: 3 odos tipas
👮🏽‍♂	4 odos tipas, pareigūnas, policija, policininkas, vyras, vyras policininkas: 4 odos tipas
👮🏾‍♂	5 odos tipas, pareigūnas, policija, policininkas, vyras, vyras policininkas: 5 odos tipas
👮🏿‍♂	6 odos tipas, pareigūnas, policija, policininkas, vyras, vyras policininkas: 6 odos tipas
👮‍♀	moteris, moteris policininkė, pareigūnė, policija, policininkė
👮🏻‍♀	1 ir 2 odos tipai, moteris, moteris policininkė: 1 ir 2 odos tipai, pareigūnė, policija, policininkė
👮🏼‍♀	3 odos tipas, moteris, moteris policininkė: 3 odos tipas, pareigūnė, policija, policininkė
👮🏽‍♀	4 odos tipas, moteris, moteris policininkė: 4 odos tipas, pareigūnė, policija, policininkė
👮🏾‍♀	5 odos tipas, moteris, moteris policininkė: 5 odos tipas, pareigūnė, policija, policininkė
👮🏿‍♀	6 odos tipas, moteris, moteris policininkė: 6 odos tipas, pareigūnė, policija, policininkė
🕵️	detektyvas, šnipas
🕵🏻	1 ir 2 odos tipai, detektyvas, detektyvas: 1 ir 2 odos tipai, šnipas
🕵🏼	3 odos tipas, detektyvas, detektyvas: 3 odos tipas, šnipas
🕵🏽	4 odos tipas, detektyvas, detektyvas: 4 odos tipas, šnipas
🕵🏾	5 odos tipas, detektyvas, detektyvas: 5 odos tipas, šnipas
🕵🏿	6 odos tipas, detektyvas, detektyvas: 6 odos tipas, šnipas
🕵‍♂	detektyvas, seklas, seklys, vyras, šnipas
🕵🏻‍♂	1 ir 2 odos tipai, detektyvas, seklas, seklys, seklys: 1 ir 2 odos tipai, vyras, šnipas
🕵🏼‍♂	3 odos tipas, detektyvas, seklas, seklys, seklys: 3 odos tipas, vyras, šnipas
🕵🏽‍♂	4 odos tipas, detektyvas, seklas, seklys, seklys: 4 odos tipas, vyras, šnipas
🕵🏾‍♂	5 odos tipas, detektyvas, seklas, seklys, seklys: 5 odos tipas, vyras, šnipas
🕵🏿‍♂	6 odos tipas, detektyvas, seklas, seklys, seklys: 6 odos tipas, vyras, šnipas
🕵‍♀	detektyvė, moteris, seklė, šnipė
🕵🏻‍♀	1 ir 2 odos tipai, detektyvė, moteris, seklė, seklė: 1 ir 2 odos tipai, šnipė
🕵🏼‍♀	3 odos tipas, detektyvė, moteris, seklė, seklė: 3 odos tipas, šnipė
🕵🏽‍♀	4 odos tipas, detektyvė, moteris, seklė, seklė: 4 odos tipas, šnipė
🕵🏾‍♀	5 odos tipas, detektyvė, moteris, seklė, seklė: 5 odos tipas, šnipė
🕵🏿‍♀	6 odos tipas, detektyvė, moteris, seklė, seklė: 6 odos tipas, šnipė
💂	sargyba, sargybinis
💂🏻	1 ir 2 odos tipai, sargyba, sargybinis, sargybinis: 1 ir 2 odos tipai
💂🏼	3 odos tipas, sargyba, sargybinis, sargybinis: 3 odos tipas
💂🏽	4 odos tipas, sargyba, sargybinis, sargybinis: 4 odos tipas
💂🏾	5 odos tipas, sargyba, sargybinis, sargybinis: 5 odos tipas
💂🏿	6 odos tipas, sargyba, sargybinis, sargybinis: 6 odos tipas
💂‍♂	sargybinis, vyras, vyras sargybinis
💂🏻‍♂	1 ir 2 odos tipai, sargybinis, vyras, vyras sargybinis: 1 ir 2 odos tipai
💂🏼‍♂	3 odos tipas, sargybinis, vyras, vyras sargybinis: 3 odos tipas
💂🏽‍♂	4 odos tipas, sargybinis, vyras, vyras sargybinis: 4 odos tipas
💂🏾‍♂	5 odos tipas, sargybinis, vyras, vyras sargybinis: 5 odos tipas
💂🏿‍♂	6 odos tipas, sargybinis, vyras, vyras sargybinis: 6 odos tipas
💂‍♀	moteris, sargybinė
💂🏻‍♀	1 ir 2 odos tipai, moteris, sargybinė, sargybinė: 1 ir 2 odos tipai
💂🏼‍♀	3 odos tipas, moteris, sargybinė, sargybinė: 3 odos tipas
💂🏽‍♀	4 odos tipas, moteris, sargybinė, sargybinė: 4 odos tipas
💂🏾‍♀	5 odos tipas, moteris, sargybinė, sargybinė: 5 odos tipas
💂🏿‍♀	6 odos tipas, moteris, sargybinė, sargybinė: 6 odos tipas
👷	darbuotojas, kepurė, statyba, statybininkas
👷🏻	1 ir 2 odos tipai, darbuotojas, kepurė, statyba, statybininkas, statybininkas: 1 ir 2 odos tipai
👷🏼	3 odos tipas, darbuotojas, kepurė, statyba, statybininkas, statybininkas: 3 odos tipas
👷🏽	4 odos tipas, darbuotojas, kepurė, statyba, statybininkas, statybininkas: 4 odos tipas
👷🏾	5 odos tipas, darbuotojas, kepurė, statyba, statybininkas, statybininkas: 5 odos tipas
👷🏿	6 odos tipas, darbuotojas, kepurė, statyba, statybininkas, statybininkas: 6 odos tipas
👷‍♂	darbininkas, statybininkas, vyras, vyras statybininkas
👷🏻‍♂	1 ir 2 odos tipai, darbininkas, statybininkas, vyras, vyras statybininkas: 1 ir 2 odos tipai
👷🏼‍♂	3 odos tipas, darbininkas, statybininkas, vyras, vyras statybininkas: 3 odos tipas
👷🏽‍♂	4 odos tipas, darbininkas, statybininkas, vyras, vyras statybininkas: 4 odos tipas
👷🏾‍♂	5 odos tipas, darbininkas, statybininkas, vyras, vyras statybininkas: 5 odos tipas
👷🏿‍♂	6 odos tipas, darbininkas, statybininkas, vyras, vyras statybininkas: 6 odos tipas
👷‍♀	darbininkė, moteris, statybininkė
👷🏻‍♀	1 ir 2 odos tipai, darbininkė, moteris, statybininkė, statybininkė: 1 ir 2 odos tipai
👷🏼‍♀	3 odos tipas, darbininkė, moteris, statybininkė, statybininkė: 3 odos tipas
👷🏽‍♀	4 odos tipas, darbininkė, moteris, statybininkė, statybininkė: 4 odos tipas
👷🏾‍♀	5 odos tipas, darbininkė, moteris, statybininkė, statybininkė: 5 odos tipas
👷🏿‍♀	6 odos tipas, darbininkė, moteris, statybininkė, statybininkė: 6 odos tipas
🤴	princas
🤴🏻	1 ir 2 odos tipai, princas, princas: 1 ir 2 odos tipai
🤴🏼	3 odos tipas, princas, princas: 3 odos tipas
🤴🏽	4 odos tipas, princas, princas: 4 odos tipas
🤴🏾	5 odos tipas, princas, princas: 5 odos tipas
🤴🏿	6 odos tipas, princas, princas: 6 odos tipas
👸	fantazija, pasaka, princesė
👸🏻	1 ir 2 odos tipai, fantazija, pasaka, princesė, princesė: 1 ir 2 odos tipai
👸🏼	3 odos tipas, fantazija, pasaka, princesė, princesė: 3 odos tipas
👸🏽	4 odos tipas, fantazija, pasaka, princesė, princesė: 4 odos tipas
👸🏾	5 odos tipas, fantazija, pasaka, princesė, princesė: 5 odos tipas
👸🏿	6 odos tipas, fantazija, pasaka, princesė, princesė: 6 odos tipas
👳	turbanas, vyras su turbanu
👳🏻	1 ir 2 odos tipai, turbanas, vyras su turbanu, vyras su turbanu: 1 ir 2 odos tipai
👳🏼	3 odos tipas, turbanas, vyras su turbanu, vyras su turbanu: 3 odos tipas
👳🏽	4 odos tipas, turbanas, vyras su turbanu, vyras su turbanu: 4 odos tipas
👳🏾	5 odos tipas, turbanas, vyras su turbanu, vyras su turbanu: 5 odos tipas
👳🏿	6 odos tipas, turbanas, vyras su turbanu, vyras su turbanu: 6 odos tipas
👳‍♂	turbanas, vyras, vyriškis su turbanu
👳🏻‍♂	1 ir 2 odos tipai, turbanas, vyras, vyriškis su turbanu, vyriškis su turbanu: 1 ir 2 odos tipai
👳🏼‍♂	3 odos tipas, turbanas, vyras, vyriškis su turbanu, vyriškis su turbanu: 3 odos tipas
👳🏽‍♂	4 odos tipas, turbanas, vyras, vyriškis su turbanu, vyriškis su turbanu: 4 odos tipas
👳🏾‍♂	5 odos tipas, turbanas, vyras, vyriškis su turbanu, vyriškis su turbanu: 5 odos tipas
👳🏿‍♂	6 odos tipas, turbanas, vyras, vyriškis su turbanu, vyriškis su turbanu: 6 odos tipas
👳‍♀	moteris, moteris su turbanu, turbanas
👳🏻‍♀	1 ir 2 odos tipai, moteris, moteris su turbanu, moteris su turbanu: 1 ir 2 odos tipai, turbanas
👳🏼‍♀	3 odos tipas, moteris, moteris su turbanu, moteris su turbanu: 3 odos tipas, turbanas
👳🏽‍♀	4 odos tipas, moteris, moteris su turbanu, moteris su turbanu: 4 odos tipas, turbanas
👳🏾‍♀	5 odos tipas, moteris, moteris su turbanu, moteris su turbanu: 5 odos tipas, turbanas
👳🏿‍♀	6 odos tipas, moteris, moteris su turbanu, moteris su turbanu: 6 odos tipas, turbanas
👲	kepurė, kinietiška kepurėlė, vyras, vyras su kinietiška kepurėle
👲🏻	1 ir 2 odos tipai, kepurė, kinietiška kepurėlė, vyras, vyras su kinietiška kepurėle, vyras su kinietiška kepurėle: 1 ir 2 odos tipai
👲🏼	3 odos tipas, kepurė, kinietiška kepurėlė, vyras, vyras su kinietiška kepurėle, vyras su kinietiška kepurėle: 3 odos tipas
👲🏽	4 odos tipas, kepurė, kinietiška kepurėlė, vyras, vyras su kinietiška kepurėle, vyras su kinietiška kepurėle: 4 odos tipas
👲🏾	5 odos tipas, kepurė, kinietiška kepurėlė, vyras, vyras su kinietiška kepurėle, vyras su kinietiška kepurėle: 5 odos tipas
👲🏿	6 odos tipas, kepurė, kinietiška kepurėlė, vyras, vyras su kinietiška kepurėle, vyras su kinietiška kepurėle: 6 odos tipas
🧕	moteris su skarele, skarelė
🧕🏻	1 ir 2 odos tipai, moteris su skarele, moteris su skarele: 1 ir 2 odos tipai, skarelė
🧕🏼	3 odos tipas, moteris su skarele, moteris su skarele: 3 odos tipas, skarelė
🧕🏽	4 odos tipas, moteris su skarele, moteris su skarele: 4 odos tipas, skarelė
🧕🏾	5 odos tipas, moteris su skarele, moteris su skarele: 5 odos tipas, skarelė
🧕🏿	6 odos tipas, moteris su skarele, moteris su skarele: 6 odos tipas, skarelė
🤵	jaunikis, smokingas, vyras, vyras su smokingu
🤵🏻	1 ir 2 odos tipai, jaunikis, smokingas, vyras, vyras su smokingu, vyras su smokingu: 1 ir 2 odos tipai
🤵🏼	3 odos tipas, jaunikis, smokingas, vyras, vyras su smokingu, vyras su smokingu: 3 odos tipas
🤵🏽	4 odos tipas, jaunikis, smokingas, vyras, vyras su smokingu, vyras su smokingu: 4 odos tipas
🤵🏾	5 odos tipas, jaunikis, smokingas, vyras, vyras su smokingu, vyras su smokingu: 5 odos tipas
🤵🏿	6 odos tipas, jaunikis, smokingas, vyras, vyras su smokingu, vyras su smokingu: 6 odos tipas
👰	nuotaka, nuotaka su veliumu, veliumas, vestuvės
👰🏻	1 ir 2 odos tipai, nuotaka, nuotaka su veliumu, nuotaka su veliumu: 1 ir 2 odos tipai, veliumas, vestuvės
👰🏼	3 odos tipas, nuotaka, nuotaka su veliumu, nuotaka su veliumu: 3 odos tipas, veliumas, vestuvės
👰🏽	4 odos tipas, nuotaka, nuotaka su veliumu, nuotaka su veliumu: 4 odos tipas, veliumas, vestuvės
👰🏾	5 odos tipas, nuotaka, nuotaka su veliumu, nuotaka su veliumu: 5 odos tipas, veliumas, vestuvės
👰🏿	6 odos tipas, nuotaka, nuotaka su veliumu, nuotaka su veliumu: 6 odos tipas, veliumas, vestuvės
🤰	moteris, neščia, nėščia moteris
🤰🏻	1 ir 2 odos tipai, moteris, neščia, nėščia moteris, nėščia moteris: 1 ir 2 odos tipai
🤰🏼	3 odos tipas, moteris, neščia, nėščia moteris, nėščia moteris: 3 odos tipas
🤰🏽	4 odos tipas, moteris, neščia, nėščia moteris, nėščia moteris: 4 odos tipas
🤰🏾	5 odos tipas, moteris, neščia, nėščia moteris, nėščia moteris: 5 odos tipas
🤰🏿	6 odos tipas, moteris, neščia, nėščia moteris, nėščia moteris: 6 odos tipas
🤱	krūtinė, kūdikis, maitinimas krūtimi, priežiūra
🤱🏻	1 ir 2 odos tipai, krūtinė, kūdikis, maitinimas krūtimi, maitinimas krūtimi: 1 ir 2 odos tipai, priežiūra
🤱🏼	3 odos tipas, krūtinė, kūdikis, maitinimas krūtimi, maitinimas krūtimi: 3 odos tipas, priežiūra
🤱🏽	4 odos tipas, krūtinė, kūdikis, maitinimas krūtimi, maitinimas krūtimi: 4 odos tipas, priežiūra
🤱🏾	5 odos tipas, krūtinė, kūdikis, maitinimas krūtimi, maitinimas krūtimi: 5 odos tipas, priežiūra
🤱🏿	6 odos tipas, krūtinė, kūdikis, maitinimas krūtimi, maitinimas krūtimi: 6 odos tipas, priežiūra
👼	angelas, angeliukas, fantazija, kūdikis, pasaka, veidas
👼🏻	1 ir 2 odos tipai, angelas, angeliukas, angeliukas: 1 ir 2 odos tipai, fantazija, kūdikis, pasaka, veidas
👼🏼	3 odos tipas, angelas, angeliukas, angeliukas: 3 odos tipas, fantazija, kūdikis, pasaka, veidas
👼🏽	4 odos tipas, angelas, angeliukas, angeliukas: 4 odos tipas, fantazija, kūdikis, pasaka, veidas
