😀	Gesiicht, Grinsen, Grinsgesiicht
🙅🏾‍♀	Fra, Fra, déi NEEN weist, Fra, déi NEEN weist: mëtteldäischter Hautfaarf, Geste, Hand, mëtteldäischter Hautfaarf, neen, net, verbueden
🙅🏿‍♀	Fra, Fra, déi NEEN weist, Fra, déi NEEN weist: däischter Hautfaarf, Geste, Hand, däischter Hautfaarf, neen, net, verbueden
🙆	Geste, Hand, OK, Persoun, déi OK weist
🙆🏻	Geste, Hand, OK, Persoun, déi OK weist, Persoun, déi OK weist: hell Hautfaarf, hell Hautfaarf
🙆🏼	Geste, Hand, OK, Persoun, déi OK weist, Persoun, déi OK weist: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🙆🏽	Geste, Hand, OK, Persoun, déi OK weist, Persoun, déi OK weist: mëttel Hautfaarf, mëttel Hautfaarf
🙆🏾	Geste, Hand, OK, Persoun, déi OK weist, Persoun, déi OK weist: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🙆🏿	Geste, Hand, OK, Persoun, déi OK weist, Persoun, déi OK weist: däischter Hautfaarf, däischter Hautfaarf
🙆‍♂	Geste, Hand, Mann, Mann, deen OK weist, OK
🙆🏻‍♂	Geste, Hand, Mann, Mann, deen OK weist, Mann, deen OK weist: hell Hautfaarf, OK, hell Hautfaarf
🙆🏼‍♂	Geste, Hand, Mann, Mann, deen OK weist, Mann, deen OK weist: mëttelhell Hautfaarf, OK, mëttelhell Hautfaarf
🙆🏽‍♂	Geste, Hand, Mann, Mann, deen OK weist, Mann, deen OK weist: mëttel Hautfaarf, OK, mëttel Hautfaarf
🙆🏾‍♂	Geste, Hand, Mann, Mann, deen OK weist, Mann, deen OK weist: mëtteldäischter Hautfaarf, OK, mëtteldäischter Hautfaarf
🙆🏿‍♂	Geste, Hand, Mann, Mann, deen OK weist, Mann, deen OK weist: däischter Hautfaarf, OK, däischter Hautfaarf
🙆‍♀	Fra, Fra, déi OK weist, Geste, Hand, OK
🙆🏻‍♀	Fra, Fra, déi OK weist, Fra, déi OK weist: hell Hautfaarf, Geste, Hand, OK, hell Hautfaarf
🙆🏼‍♀	Fra, Fra, déi OK weist, Fra, déi OK weist: mëttelhell Hautfaarf, Geste, Hand, OK, mëttelhell Hautfaarf
🙆🏽‍♀	Fra, Fra, déi OK weist, Fra, déi OK weist: mëttel Hautfaarf, Geste, Hand, OK, mëttel Hautfaarf
🙆🏾‍♀	Fra, Fra, déi OK weist, Fra, déi OK weist: mëtteldäischter Hautfaarf, Geste, Hand, OK, mëtteldäischter Hautfaarf
🙆🏿‍♀	Fra, Fra, déi OK weist, Fra, déi OK weist: däischter Hautfaarf, Geste, Hand, OK, däischter Hautfaarf
💁	Hand, Hëllef, Informatiounen, Persoun, déi d’Hand op hält, frech, ophalen
💁🏻	Hand, Hëllef, Informatiounen, Persoun, déi d’Hand op hält, Persoun, déi d’Hand op hält: hell Hautfaarf, frech, hell Hautfaarf, ophalen
💁🏼	Hand, Hëllef, Informatiounen, Persoun, déi d’Hand op hält, Persoun, déi d’Hand op hält: mëttelhell Hautfaarf, frech, mëttelhell Hautfaarf, ophalen
💁🏽	Hand, Hëllef, Informatiounen, Persoun, déi d’Hand op hält, Persoun, déi d’Hand op hält: mëttel Hautfaarf, frech, mëttel Hautfaarf, ophalen
💁🏾	Hand, Hëllef, Informatiounen, Persoun, déi d’Hand op hält, Persoun, déi d’Hand op hält: mëtteldäischter Hautfaarf, frech, mëtteldäischter Hautfaarf, ophalen
💁🏿	Hand, Hëllef, Informatiounen, Persoun, déi d’Hand op hält, Persoun, déi d’Hand op hält: däischter Hautfaarf, däischter Hautfaarf, frech, ophalen
💁‍♂	Mann, Mann, deen d’Hand op hält, frech, opgehalen Hand
💁🏻‍♂	Mann, Mann, deen d’Hand op hält, Mann, deen d’Hand op hält: hell Hautfaarf, frech, hell Hautfaarf, opgehalen Hand
💁🏼‍♂	Mann, Mann, deen d’Hand op hält, Mann, deen d’Hand op hält: mëttelhell Hautfaarf, frech, mëttelhell Hautfaarf, opgehalen Hand
💁🏽‍♂	Mann, Mann, deen d’Hand op hält, Mann, deen d’Hand op hält: mëttel Hautfaarf, frech, mëttel Hautfaarf, opgehalen Hand
💁🏾‍♂	Mann, Mann, deen d’Hand op hält, Mann, deen d’Hand op hält: mëtteldäischter Hautfaarf, frech, mëtteldäischter Hautfaarf, opgehalen Hand
💁🏿‍♂	Mann, Mann, deen d’Hand op hält, Mann, deen d’Hand op hält: däischter Hautfaarf, däischter Hautfaarf, frech, opgehalen Hand
💁‍♀	Fra, Fra, déi d’Hand op hält, frech, opgehalen Hand
💁🏻‍♀	Fra, Fra, déi d’Hand op hält, Fra, déi d’Hand op hält: hell Hautfaarf, frech, hell Hautfaarf, opgehalen Hand
💁🏼‍♀	Fra, Fra, déi d’Hand op hält, Fra, déi d’Hand op hält: mëttelhell Hautfaarf, frech, mëttelhell Hautfaarf, opgehalen Hand
💁🏽‍♀	Fra, Fra, déi d’Hand op hält, Fra, déi d’Hand op hält: mëttel Hautfaarf, frech, mëttel Hautfaarf, opgehalen Hand
💁🏾‍♀	Fra, Fra, déi d’Hand op hält, Fra, déi d’Hand op hält: mëtteldäischter Hautfaarf, frech, mëtteldäischter Hautfaarf, opgehalen Hand
💁🏿‍♀	Fra, Fra, déi d’Hand op hält, Fra, déi d’Hand op hält: däischter Hautfaarf, däischter Hautfaarf, frech, opgehalen Hand
🙋	Geste, Hand, Persoun, déi d’Hand hieft, gehuewen, glécklech
🙋🏻	Geste, Hand, Persoun, déi d’Hand hieft, Persoun, déi d’Hand hieft: hell Hautfaarf, gehuewen, glécklech, hell Hautfaarf
🙋🏼	Geste, Hand, Persoun, déi d’Hand hieft, Persoun, déi d’Hand hieft: mëttelhell Hautfaarf, gehuewen, glécklech, mëttelhell Hautfaarf
🙋🏽	Geste, Hand, Persoun, déi d’Hand hieft, Persoun, déi d’Hand hieft: mëttel Hautfaarf, gehuewen, glécklech, mëttel Hautfaarf
🙋🏾	Geste, Hand, Persoun, déi d’Hand hieft, Persoun, déi d’Hand hieft: mëtteldäischter Hautfaarf, gehuewen, glécklech, mëtteldäischter Hautfaarf
🙋🏿	Geste, Hand, Persoun, déi d’Hand hieft, Persoun, déi d’Hand hieft: däischter Hautfaarf, däischter Hautfaarf, gehuewen, glécklech
🙋‍♂	Geste, Mann, Mann, deen d’Hand hieft, gehuewen Hand
🙋🏻‍♂	Geste, Mann, Mann, deen d’Hand hieft, Mann, deen d’Hand hieft: hell Hautfaarf, gehuewen Hand, hell Hautfaarf
🙋🏼‍♂	Geste, Mann, Mann, deen d’Hand hieft, Mann, deen d’Hand hieft: mëttelhell Hautfaarf, gehuewen Hand, mëttelhell Hautfaarf
🙋🏽‍♂	Geste, Mann, Mann, deen d’Hand hieft, Mann, deen d’Hand hieft: mëttel Hautfaarf, gehuewen Hand, mëttel Hautfaarf
🙋🏾‍♂	Geste, Mann, Mann, deen d’Hand hieft, Mann, deen d’Hand hieft: mëtteldäischter Hautfaarf, gehuewen Hand, mëtteldäischter Hautfaarf
🙋🏿‍♂	Geste, Mann, Mann, deen d’Hand hieft, Mann, deen d’Hand hieft: däischter Hautfaarf, däischter Hautfaarf, gehuewen Hand
🙋‍♀	Fra, Fra, déi d’Hand hieft, Geste, gehuewen Hand
🙋🏻‍♀	Fra, Fra, déi d’Hand hieft, Fra, déi d’Hand hieft: hell Hautfaarf, Geste, gehuewen Hand, hell Hautfaarf
🙋🏼‍♀	Fra, Fra, déi d’Hand hieft, Fra, déi d’Hand hieft: mëttelhell Hautfaarf, Geste, gehuewen Hand, mëttelhell Hautfaarf
🙋🏽‍♀	Fra, Fra, déi d’Hand hieft, Fra, déi d’Hand hieft: mëttel Hautfaarf, Geste, gehuewen Hand, mëttel Hautfaarf
🙋🏾‍♀	Fra, Fra, déi d’Hand hieft, Fra, déi d’Hand hieft: mëtteldäischter Hautfaarf, Geste, gehuewen Hand, mëtteldäischter Hautfaarf
🙋🏿‍♀	Fra, Fra, déi d’Hand hieft, Fra, déi d’Hand hieft: däischter Hautfaarf, Geste, däischter Hautfaarf, gehuewen Hand
🙇	Entschëllegung, Geste, Verneigung, entschëllegt, sech vernäipend Persoun
🙇🏻	Entschëllegung, Geste, Verneigung, entschëllegt, hell Hautfaarf, sech vernäipend Persoun, sech vernäipend Persoun: hell Hautfaarf
🙇🏼	Entschëllegung, Geste, Verneigung, entschëllegt, mëttelhell Hautfaarf, sech vernäipend Persoun, sech vernäipend Persoun: mëttelhell Hautfaarf
🙇🏽	Entschëllegung, Geste, Verneigung, entschëllegt, mëttel Hautfaarf, sech vernäipend Persoun, sech vernäipend Persoun: mëttel Hautfaarf
🙇🏾	Entschëllegung, Geste, Verneigung, entschëllegt, mëtteldäischter Hautfaarf, sech vernäipend Persoun, sech vernäipend Persoun: mëtteldäischter Hautfaarf
🙇🏿	Entschëllegung, Geste, Verneigung, däischter Hautfaarf, entschëllegt, sech vernäipend Persoun, sech vernäipend Persoun: däischter Hautfaarf
🙇‍♂	Entschëllegung, Gefalen, Geste, Mann, entschëllegt, sech vernäipende Mann, vernäipen
🙇🏻‍♂	Entschëllegung, Gefalen, Geste, Mann, entschëllegt, hell Hautfaarf, sech vernäipende Mann, sech vernäipende Mann: hell Hautfaarf, vernäipen
🙇🏼‍♂	Entschëllegung, Gefalen, Geste, Mann, entschëllegt, mëttelhell Hautfaarf, sech vernäipende Mann, sech vernäipende Mann: mëttelhell Hautfaarf, vernäipen
🙇🏽‍♂	Entschëllegung, Gefalen, Geste, Mann, entschëllegt, mëttel Hautfaarf, sech vernäipende Mann, sech vernäipende Mann: mëttel Hautfaarf, vernäipen
🙇🏾‍♂	Entschëllegung, Gefalen, Geste, Mann, entschëllegt, mëtteldäischter Hautfaarf, sech vernäipende Mann, sech vernäipende Mann: mëtteldäischter Hautfaarf, vernäipen
🙇🏿‍♂	Entschëllegung, Gefalen, Geste, Mann, däischter Hautfaarf, entschëllegt, sech vernäipende Mann, sech vernäipende Mann: däischter Hautfaarf, vernäipen
🙇‍♀	Entschëllegung, Fra, Gefalen, Geste, entschëllegt, sech vernäipend Fra, vernäipen
🙇🏻‍♀	Entschëllegung, Fra, Gefalen, Geste, entschëllegt, hell Hautfaarf, sech vernäipend Fra, sech vernäipend Fra: hell Hautfaarf, vernäipen
🙇🏼‍♀	Entschëllegung, Fra, Gefalen, Geste, entschëllegt, mëttelhell Hautfaarf, sech vernäipend Fra, sech vernäipend Fra: mëttelhell Hautfaarf, vernäipen
🙇🏽‍♀	Entschëllegung, Fra, Gefalen, Geste, entschëllegt, mëttel Hautfaarf, sech vernäipend Fra, sech vernäipend Fra: mëttel Hautfaarf, vernäipen
🙇🏾‍♀	Entschëllegung, Fra, Gefalen, Geste, entschëllegt, mëtteldäischter Hautfaarf, sech vernäipend Fra, sech vernäipend Fra: mëtteldäischter Hautfaarf, vernäipen
🙇🏿‍♀	Entschëllegung, Fra, Gefalen, Geste, däischter Hautfaarf, entschëllegt, sech vernäipend Fra, sech vernäipend Fra: däischter Hautfaarf, vernäipen
🤦	Frust, Gesiicht, Hand, Persoun, déi sech d’Hand widder de Kapp schléit, Zweiwel
🤦🏻	Frust, Gesiicht, Hand, Persoun, déi sech d’Hand widder de Kapp schléit, Persoun, déi sech d’Hand widder de Kapp schléit: hell Hautfaarf, Zweiwel, hell Hautfaarf
🤦🏼	Frust, Gesiicht, Hand, Persoun, déi sech d’Hand widder de Kapp schléit, Persoun, déi sech d’Hand widder de Kapp schléit: mëttelhell Hautfaarf, Zweiwel, mëttelhell Hautfaarf
🤦🏽	Frust, Gesiicht, Hand, Persoun, déi sech d’Hand widder de Kapp schléit, Persoun, déi sech d’Hand widder de Kapp schléit: mëttel Hautfaarf, Zweiwel, mëttel Hautfaarf
🤦🏾	Frust, Gesiicht, Hand, Persoun, déi sech d’Hand widder de Kapp schléit, Persoun, déi sech d’Hand widder de Kapp schléit: mëtteldäischter Hautfaarf, Zweiwel, mëtteldäischter Hautfaarf
🤦🏿	Frust, Gesiicht, Hand, Persoun, déi sech d’Hand widder de Kapp schléit, Persoun, déi sech d’Hand widder de Kapp schléit: däischter Hautfaarf, Zweiwel, däischter Hautfaarf
🤦‍♂	Frust, Mann, Mann, deen sech d’Hand widder de Kapp schléit, Zweiwel, entsat
🤦🏻‍♂	Frust, Mann, Mann, deen sech d’Hand widder de Kapp schléit, Mann, deen sech d’Hand widder de Kapp schléit: hell Hautfaarf, Zweiwel, entsat, hell Hautfaarf
🤦🏼‍♂	Frust, Mann, Mann, deen sech d’Hand widder de Kapp schléit, Mann, deen sech d’Hand widder de Kapp schléit: mëttelhell Hautfaarf, Zweiwel, entsat, mëttelhell Hautfaarf
🤦🏽‍♂	Frust, Mann, Mann, deen sech d’Hand widder de Kapp schléit, Mann, deen sech d’Hand widder de Kapp schléit: mëttel Hautfaarf, Zweiwel, entsat, mëttel Hautfaarf
🤦🏾‍♂	Frust, Mann, Mann, deen sech d’Hand widder de Kapp schléit, Mann, deen sech d’Hand widder de Kapp schléit: mëtteldäischter Hautfaarf, Zweiwel, entsat, mëtteldäischter Hautfaarf
🤦🏿‍♂	Frust, Mann, Mann, deen sech d’Hand widder de Kapp schléit, Mann, deen sech d’Hand widder de Kapp schléit: däischter Hautfaarf, Zweiwel, däischter Hautfaarf, entsat
🤦‍♀	Fra, Fra, déi sech d’Hand widder de Kapp schléit, Frust, Zweiwel, entsat
🤦🏻‍♀	Fra, Fra, déi sech d’Hand widder de Kapp schléit, Fra, déi sech d’Hand widder de Kapp schléit: hell Hautfaarf, Frust, Zweiwel, entsat, hell Hautfaarf
🤦🏼‍♀	Fra, Fra, déi sech d’Hand widder de Kapp schléit, Fra, déi sech d’Hand widder de Kapp schléit: mëttelhell Hautfaarf, Frust, Zweiwel, entsat, mëttelhell Hautfaarf
🤦🏽‍♀	Fra, Fra, déi sech d’Hand widder de Kapp schléit, Fra, déi sech d’Hand widder de Kapp schléit: mëttel Hautfaarf, Frust, Zweiwel, entsat, mëttel Hautfaarf
🤦🏾‍♀	Fra, Fra, déi sech d’Hand widder de Kapp schléit, Fra, déi sech d’Hand widder de Kapp schléit: mëtteldäischter Hautfaarf, Frust, Zweiwel, entsat, mëtteldäischter Hautfaarf
🤦🏿‍♀	Fra, Fra, déi sech d’Hand widder de Kapp schléit, Fra, déi sech d’Hand widder de Kapp schléit: däischter Hautfaarf, Frust, Zweiwel, däischter Hautfaarf, entsat
🤷	Ignoranz, Indifferenz, Persoun, déi d’Schëlleren hieft, Schëlleren hiewen, Zweiwel
🤷🏻	Ignoranz, Indifferenz, Persoun, déi d’Schëlleren hieft, Persoun, déi d’Schëlleren hieft: hell Hautfaarf, Schëlleren hiewen, Zweiwel, hell Hautfaarf
🤷🏼	Ignoranz, Indifferenz, Persoun, déi d’Schëlleren hieft, Persoun, déi d’Schëlleren hieft: mëttelhell Hautfaarf, Schëlleren hiewen, Zweiwel, mëttelhell Hautfaarf
🤷🏽	Ignoranz, Indifferenz, Persoun, déi d’Schëlleren hieft, Persoun, déi d’Schëlleren hieft: mëttel Hautfaarf, Schëlleren hiewen, Zweiwel, mëttel Hautfaarf
🤷🏾	Ignoranz, Indifferenz, Persoun, déi d’Schëlleren hieft, Persoun, déi d’Schëlleren hieft: mëtteldäischter Hautfaarf, Schëlleren hiewen, Zweiwel, mëtteldäischter Hautfaarf
🤷🏿	Ignoranz, Indifferenz, Persoun, déi d’Schëlleren hieft, Persoun, déi d’Schëlleren hieft: däischter Hautfaarf, Schëlleren hiewen, Zweiwel, däischter Hautfaarf
🤷‍♂	Ignoranz, Indifferenz, Mann, Mann, deen d’Schëlleren hieft, Schëlleren hiewen, Zweiwel
🤷🏻‍♂	Ignoranz, Indifferenz, Mann, Mann, deen d’Schëlleren hieft, Mann, deen d’Schëlleren hieft: hell Hautfaarf, Schëlleren hiewen, Zweiwel, hell Hautfaarf
🤷🏼‍♂	Ignoranz, Indifferenz, Mann, Mann, deen d’Schëlleren hieft, Mann, deen d’Schëlleren hieft: mëttelhell Hautfaarf, Schëlleren hiewen, Zweiwel, mëttelhell Hautfaarf
🤷🏽‍♂	Ignoranz, Indifferenz, Mann, Mann, deen d’Schëlleren hieft, Mann, deen d’Schëlleren hieft: mëttel Hautfaarf, Schëlleren hiewen, Zweiwel, mëttel Hautfaarf
🤷🏾‍♂	Ignoranz, Indifferenz, Mann, Mann, deen d’Schëlleren hieft, Mann, deen d’Schëlleren hieft: mëtteldäischter Hautfaarf, Schëlleren hiewen, Zweiwel, mëtteldäischter Hautfaarf
🤷🏿‍♂	Ignoranz, Indifferenz, Mann, Mann, deen d’Schëlleren hieft, Mann, deen d’Schëlleren hieft: däischter Hautfaarf, Schëlleren hiewen, Zweiwel, däischter Hautfaarf
🤷‍♀	Fra, Fra, déi d’Schëlleren hieft, Ignoranz, Indifferenz, Schëlleren hiewen, Zweiwel
🤷🏻‍♀	Fra, Fra, déi d’Schëlleren hieft, Fra, déi d’Schëlleren hieft: hell Hautfaarf, Ignoranz, Indifferenz, Schëlleren hiewen, Zweiwel, hell Hautfaarf
🤷🏼‍♀	Fra, Fra, déi d’Schëlleren hieft, Fra, déi d’Schëlleren hieft: mëttelhell Hautfaarf, Ignoranz, Indifferenz, Schëlleren hiewen, Zweiwel, mëttelhell Hautfaarf
🤷🏽‍♀	Fra, Fra, déi d’Schëlleren hieft, Fra, déi d’Schëlleren hieft: mëttel Hautfaarf, Ignoranz, Indifferenz, Schëlleren hiewen, Zweiwel, mëttel Hautfaarf
🤷🏾‍♀	Fra, Fra, déi d’Schëlleren hieft, Fra, déi d’Schëlleren hieft: mëtteldäischter Hautfaarf, Ignoranz, Indifferenz, Schëlleren hiewen, Zweiwel, mëtteldäischter Hautfaarf
🤷🏿‍♀	Fra, Fra, déi d’Schëlleren hieft, Fra, déi d’Schëlleren hieft: däischter Hautfaarf, Ignoranz, Indifferenz, Schëlleren hiewen, Zweiwel, däischter Hautfaarf
👨‍⚕	Dokter, Gesondheet, Infirmier, Mann, Medeziner, Therapeut
👨🏻‍⚕	Dokter, Gesondheet, Infirmier, Mann, Medeziner, Medeziner: hell Hautfaarf, Therapeut, hell Hautfaarf
👨🏼‍⚕	Dokter, Gesondheet, Infirmier, Mann, Medeziner, Medeziner: mëttelhell Hautfaarf, Therapeut, mëttelhell Hautfaarf
👨🏽‍⚕	Dokter, Gesondheet, Infirmier, Mann, Medeziner, Medeziner: mëttel Hautfaarf, Therapeut, mëttel Hautfaarf
👨🏾‍⚕	Dokter, Gesondheet, Infirmier, Mann, Medeziner, Medeziner: mëtteldäischter Hautfaarf, Therapeut, mëtteldäischter Hautfaarf
👨🏿‍⚕	Dokter, Gesondheet, Infirmier, Mann, Medeziner, Medeziner: däischter Hautfaarf, Therapeut, däischter Hautfaarf
👩‍⚕	Dokter, Fra, Gesondheet, Infirmière, Medezinerin, Therapeut
👩🏻‍⚕	Dokter, Fra, Gesondheet, Infirmière, Medezinerin, Medezinerin: hell Hautfaarf, Therapeut, hell Hautfaarf
👩🏼‍⚕	Dokter, Fra, Gesondheet, Infirmière, Medezinerin, Medezinerin: mëttelhell Hautfaarf, Therapeut, mëttelhell Hautfaarf
👩🏽‍⚕	Dokter, Fra, Gesondheet, Infirmière, Medezinerin, Medezinerin: mëttel Hautfaarf, Therapeut, mëttel Hautfaarf
👩🏾‍⚕	Dokter, Fra, Gesondheet, Infirmière, Medezinerin, Medezinerin: mëtteldäischter Hautfaarf, Therapeut, mëtteldäischter Hautfaarf
👩🏿‍⚕	Dokter, Fra, Gesondheet, Infirmière, Medezinerin, Medezinerin: däischter Hautfaarf, Therapeut, däischter Hautfaarf
👨‍🎓	Absolvent, Mann, Student, diploméiert
👨🏻‍🎓	Absolvent, Mann, Student, Student: hell Hautfaarf, diploméiert, hell Hautfaarf
👨🏼‍🎓	Absolvent, Mann, Student, Student: mëttelhell Hautfaarf, diploméiert, mëttelhell Hautfaarf
👨🏽‍🎓	Absolvent, Mann, Student, Student: mëttel Hautfaarf, diploméiert, mëttel Hautfaarf
👨🏾‍🎓	Absolvent, Mann, Student, Student: mëtteldäischter Hautfaarf, diploméiert, mëtteldäischter Hautfaarf
👨🏿‍🎓	Absolvent, Mann, Student, Student: däischter Hautfaarf, diploméiert, däischter Hautfaarf
👩‍🎓	Absolventin, Fra, Studentin, diploméiert
👩🏻‍🎓	Absolventin, Fra, Studentin, Studentin: hell Hautfaarf, diploméiert, hell Hautfaarf
👩🏼‍🎓	Absolventin, Fra, Studentin, Studentin: mëttelhell Hautfaarf, diploméiert, mëttelhell Hautfaarf
👩🏽‍🎓	Absolventin, Fra, Studentin, Studentin: mëttel Hautfaarf, diploméiert, mëttel Hautfaarf
👩🏾‍🎓	Absolventin, Fra, Studentin, Studentin: mëtteldäischter Hautfaarf, diploméiert, mëtteldäischter Hautfaarf
👩🏿‍🎓	Absolventin, Fra, Studentin, Studentin: däischter Hautfaarf, diploméiert, däischter Hautfaarf
👨‍🏫	Enseignant, Mann, Professer, Schoulmeeschter
👨🏻‍🏫	Enseignant, Enseignant: hell Hautfaarf, Mann, Professer, Schoulmeeschter, hell Hautfaarf
👨🏼‍🏫	Enseignant, Enseignant: mëttelhell Hautfaarf, Mann, Professer, Schoulmeeschter, mëttelhell Hautfaarf
👨🏽‍🏫	Enseignant, Enseignant: mëttel Hautfaarf, Mann, Professer, Schoulmeeschter, mëttel Hautfaarf
👨🏾‍🏫	Enseignant, Enseignant: mëtteldäischter Hautfaarf, Mann, Professer, Schoulmeeschter, mëtteldäischter Hautfaarf
👨🏿‍🏫	Enseignant, Enseignant: däischter Hautfaarf, Mann, Professer, Schoulmeeschter, däischter Hautfaarf
👩‍🏫	Enseignante, Fra, Professer, Schoulmeeschtesch
👩🏻‍🏫	Enseignante, Enseignante: hell Hautfaarf, Fra, Professer, Schoulmeeschtesch, hell Hautfaarf
👩🏼‍🏫	Enseignante, Enseignante: mëttelhell Hautfaarf, Fra, Professer, Schoulmeeschtesch, mëttelhell Hautfaarf
👩🏽‍🏫	Enseignante, Enseignante: mëttel Hautfaarf, Fra, Professer, Schoulmeeschtesch, mëttel Hautfaarf
👩🏾‍🏫	Enseignante, Enseignante: mëtteldäischter Hautfaarf, Fra, Professer, Schoulmeeschtesch, mëtteldäischter Hautfaarf
👩🏿‍🏫	Enseignante, Enseignante: däischter Hautfaarf, Fra, Professer, Schoulmeeschtesch, däischter Hautfaarf
👨‍⚖	Geriicht, Justiz, Riichter, Wo
👨🏻‍⚖	Geriicht, Justiz, Riichter, Riichter: hell Hautfaarf, Wo, hell Hautfaarf
👨🏼‍⚖	Geriicht, Justiz, Riichter, Riichter: mëttelhell Hautfaarf, Wo, mëttelhell Hautfaarf
👨🏽‍⚖	Geriicht, Justiz, Riichter, Riichter: mëttel Hautfaarf, Wo, mëttel Hautfaarf
👨🏾‍⚖	Geriicht, Justiz, Riichter, Riichter: mëtteldäischter Hautfaarf, Wo, mëtteldäischter Hautfaarf
👨🏿‍⚖	Geriicht, Justiz, Riichter, Riichter: däischter Hautfaarf, Wo, däischter Hautfaarf
👩‍⚖	Fra, Riichterin, Wo
👩🏻‍⚖	Fra, Riichterin, Riichterin: hell Hautfaarf, Wo, hell Hautfaarf
👩🏼‍⚖	Fra, Riichterin, Riichterin: mëttelhell Hautfaarf, Wo, mëttelhell Hautfaarf
👩🏽‍⚖	Fra, Riichterin, Riichterin: mëttel Hautfaarf, Wo, mëttel Hautfaarf
👩🏾‍⚖	Fra, Riichterin, Riichterin: mëtteldäischter Hautfaarf, Wo, mëtteldäischter Hautfaarf
👩🏿‍⚖	Fra, Riichterin, Riichterin: däischter Hautfaarf, Wo, däischter Hautfaarf
👨‍🌾	Bauer, Gäertner, Mann, Véiziichter
👨🏻‍🌾	Bauer, Bauer: hell Hautfaarf, Gäertner, Mann, Véiziichter, hell Hautfaarf
👨🏼‍🌾	Bauer, Bauer: mëttelhell Hautfaarf, Gäertner, Mann, Véiziichter, mëttelhell Hautfaarf
👨🏽‍🌾	Bauer, Bauer: mëttel Hautfaarf, Gäertner, Mann, Véiziichter, mëttel Hautfaarf
👨🏾‍🌾	Bauer, Bauer: mëtteldäischter Hautfaarf, Gäertner, Mann, Véiziichter, mëtteldäischter Hautfaarf
👨🏿‍🌾	Bauer, Bauer: däischter Hautfaarf, Gäertner, Mann, Véiziichter, däischter Hautfaarf
👩‍🌾	Bauerefra, Fra, Gäertnerin, Véiziichterin
👩🏻‍🌾	Bauerefra, Bauerefra: hell Hautfaarf, Fra, Gäertnerin, Véiziichterin, hell Hautfaarf
👩🏼‍🌾	Bauerefra, Bauerefra: mëttelhell Hautfaarf, Fra, Gäertnerin, Véiziichterin, mëttelhell Hautfaarf
👩🏽‍🌾	Bauerefra, Bauerefra: mëttel Hautfaarf, Fra, Gäertnerin, Véiziichterin, mëttel Hautfaarf
👩🏾‍🌾	Bauerefra, Bauerefra: mëtteldäischter Hautfaarf, Fra, Gäertnerin, Véiziichterin, mëtteldäischter Hautfaarf
