🦵🏻	membru, picior, picior: ton deschis al pielii, ton deschis al pielii, șut
💇🏿	coafat, coafor, frizerie, frumusețe, persoană care de tunde, persoană care de tunde: ton închis al pielii, salon, ton închis al pielii, tuns, tunsoare
💇🏻‍♂	bărbat, bărbat care se tunde, bărbat care se tunde: ton deschis al pielii, frizerie, ton deschis al pielii, tunsoare
💇🏼‍♂	bărbat, bărbat care se tunde, bărbat care se tunde: ton semi‑deschis al pielii, frizerie, ton semi‑deschis al pielii, tunsoare
💇🏽‍♂	bărbat, bărbat care se tunde, bărbat care se tunde: ton mediu al pielii, frizerie, ton mediu al pielii, tunsoare
💇🏾‍♂	bărbat, bărbat care se tunde, bărbat care se tunde: ton semi‑închis al pielii, frizerie, ton semi‑închis al pielii, tunsoare
💇🏿‍♂	bărbat, bărbat care se tunde, bărbat care se tunde: ton închis al pielii, frizerie, ton închis al pielii, tunsoare
💇🏻‍♀	coafor, femeie, femeie care se tunde, femeie care se tunde: ton deschis al pielii, ton deschis al pielii, tunsoare
💇🏼‍♀	coafor, femeie, femeie care se tunde, femeie care se tunde: ton semi‑deschis al pielii, ton semi‑deschis al pielii, tunsoare
💇🏽‍♀	coafor, femeie, femeie care se tunde, femeie care se tunde: ton mediu al pielii, ton mediu al pielii, tunsoare
💇🏾‍♀	coafor, femeie, femeie care se tunde, femeie care se tunde: ton semi‑închis al pielii, ton semi‑închis al pielii, tunsoare
💇🏿‍♀	coafor, femeie, femeie care se tunde, femeie care se tunde: ton închis al pielii, ton închis al pielii, tunsoare
🚶🏻	deplasare, mers, persoană care merge, persoană care merge: ton deschis al pielii, pieton, plimbare, ton deschis al pielii
🚶🏼	deplasare, mers, persoană care merge, persoană care merge: ton semi‑deschis al pielii, pieton, plimbare, ton semi‑deschis al pielii
🚶🏽	deplasare, mers, persoană care merge, persoană care merge: ton mediu al pielii, pieton, plimbare, ton mediu al pielii
🚶🏾	deplasare, mers, persoană care merge, persoană care merge: ton semi‑închis al pielii, pieton, plimbare, ton semi‑închis al pielii
🚶🏿	deplasare, mers, persoană care merge, persoană care merge: ton închis al pielii, pieton, plimbare, ton închis al pielii
🚶🏻‍♂	bărbat, bărbat care merge, bărbat care merge: ton deschis al pielii, mers, plimbare, ton deschis al pielii
🚶🏼‍♂	bărbat, bărbat care merge, bărbat care merge: ton semi‑deschis al pielii, mers, plimbare, ton semi‑deschis al pielii
🚶🏽‍♂	bărbat, bărbat care merge, bărbat care merge: ton mediu al pielii, mers, plimbare, ton mediu al pielii
🚶🏾‍♂	bărbat, bărbat care merge, bărbat care merge: ton semi‑închis al pielii, mers, plimbare, ton semi‑închis al pielii
🚶🏿‍♂	bărbat, bărbat care merge, bărbat care merge: ton închis al pielii, mers, plimbare, ton închis al pielii
🚶🏻‍♀	femeie, femeie care merge, femeie care merge: ton deschis al pielii, mers, plimbare, ton deschis al pielii
🚶🏼‍♀	femeie, femeie care merge, femeie care merge: ton semi‑deschis al pielii, mers, plimbare, ton semi‑deschis al pielii
🚶🏽‍♀	femeie, femeie care merge, femeie care merge: ton mediu al pielii, mers, plimbare, ton mediu al pielii
🚶🏾‍♀	femeie, femeie care merge, femeie care merge: ton semi‑închis al pielii, mers, plimbare, ton semi‑închis al pielii
🚶🏿‍♀	femeie, femeie care merge, femeie care merge: ton închis al pielii, mers, plimbare, ton închis al pielii
🏃🏻	alergare, alergător, fugă, maraton, persoană care aleargă, persoană care aleargă: ton deschis al pielii, ton deschis al pielii
🏃🏼	alergare, alergător, fugă, maraton, persoană care aleargă, persoană care aleargă: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🏃🏽	alergare, alergător, fugă, maraton, persoană care aleargă, persoană care aleargă: ton mediu al pielii, ton mediu al pielii
🏃🏾	alergare, alergător, fugă, maraton, persoană care aleargă, persoană care aleargă: ton semi‑închis al pielii, ton semi‑închis al pielii
🏃🏿	alergare, alergător, fugă, maraton, persoană care aleargă, persoană care aleargă: ton închis al pielii, ton închis al pielii
🏃🏻‍♂	alergare, bărbat, bărbat care aleargă, bărbat care aleargă: ton deschis al pielii, fugă, maraton, ton deschis al pielii
🏃🏼‍♂	alergare, bărbat, bărbat care aleargă, bărbat care aleargă: ton semi‑deschis al pielii, fugă, maraton, ton semi‑deschis al pielii
🏃🏽‍♂	alergare, bărbat, bărbat care aleargă, bărbat care aleargă: ton mediu al pielii, fugă, maraton, ton mediu al pielii
🏃🏾‍♂	alergare, bărbat, bărbat care aleargă, bărbat care aleargă: ton semi‑închis al pielii, fugă, maraton, ton semi‑închis al pielii
🏃🏿‍♂	alergare, bărbat, bărbat care aleargă, bărbat care aleargă: ton închis al pielii, fugă, maraton, ton închis al pielii
🏃🏻‍♀	alergare, femeie, femeie care aleargă, femeie care aleargă: ton deschis al pielii, fugă, maraton, ton deschis al pielii
🏃🏼‍♀	alergare, femeie, femeie care aleargă, femeie care aleargă: ton semi‑deschis al pielii, fugă, maraton, ton semi‑deschis al pielii
🏃🏽‍♀	alergare, femeie, femeie care aleargă, femeie care aleargă: ton mediu al pielii, fugă, maraton, ton mediu al pielii
🏃🏾‍♀	alergare, femeie, femeie care aleargă, femeie care aleargă: ton semi‑închis al pielii, fugă, maraton, ton semi‑închis al pielii
🏃🏿‍♀	alergare, femeie, femeie care aleargă, femeie care aleargă: ton închis al pielii, fugă, maraton, ton închis al pielii
💃🏻	dans, dansatoare, dansatoare: ton deschis al pielii, femeie, ton deschis al pielii
💃🏼	dans, dansatoare, dansatoare: ton semi‑deschis al pielii, femeie, ton semi‑deschis al pielii
💃🏽	dans, dansatoare, dansatoare: ton mediu al pielii, femeie, ton mediu al pielii
💃🏾	dans, dansatoare, dansatoare: ton semi‑închis al pielii, femeie, ton semi‑închis al pielii
💃🏿	dans, dansatoare, dansatoare: ton închis al pielii, femeie, ton închis al pielii
🕺🏻	bărbat, dans, dansator, dansator: ton deschis al pielii, ton deschis al pielii
🕺🏼	bărbat, dans, dansator, dansator: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🕺🏽	bărbat, dans, dansator, dansator: ton mediu al pielii, ton mediu al pielii
🕺🏾	bărbat, dans, dansator, dansator: ton semi‑închis al pielii, ton semi‑închis al pielii
🕺🏿	bărbat, dans, dansator, dansator: ton închis al pielii, ton închis al pielii
🧖🏻	baie de aburi, persoană în saună, persoană în saună: ton deschis al pielii, saună, ton deschis al pielii
🧖🏼	baie de aburi, persoană în saună, persoană în saună: ton semi‑deschis al pielii, saună, ton semi‑deschis al pielii
🧖🏽	baie de aburi, persoană în saună, persoană în saună: ton mediu al pielii, saună, ton mediu al pielii
🧖🏾	baie de aburi, persoană în saună, persoană în saună: ton semi‑închis al pielii, saună, ton semi‑închis al pielii
🧖🏿	baie de aburi, persoană în saună, persoană în saună: ton închis al pielii, saună, ton închis al pielii
🧖🏻‍♀	baie de aburi, femeie în saună, femeie în saună: ton deschis al pielii, saună, ton deschis al pielii
🧖🏼‍♀	baie de aburi, femeie în saună, femeie în saună: ton semi‑deschis al pielii, saună, ton semi‑deschis al pielii
🧖🏽‍♀	baie de aburi, femeie în saună, femeie în saună: ton mediu al pielii, saună, ton mediu al pielii
🧖🏾‍♀	baie de aburi, femeie în saună, femeie în saună: ton semi‑închis al pielii, saună, ton semi‑închis al pielii
🧖🏿‍♀	baie de aburi, femeie în saună, femeie în saună: ton închis al pielii, saună, ton închis al pielii
🧖🏻‍♂	baie de aburi, bărbat în saună, bărbat în saună: ton deschis al pielii, saună, ton deschis al pielii
🧖🏼‍♂	baie de aburi, bărbat în saună, bărbat în saună: ton semi‑deschis al pielii, saună, ton semi‑deschis al pielii
🧖🏽‍♂	baie de aburi, bărbat în saună, bărbat în saună: ton mediu al pielii, saună, ton mediu al pielii
🧖🏾‍♂	baie de aburi, bărbat în saună, bărbat în saună: ton semi‑închis al pielii, saună, ton semi‑închis al pielii
🧖🏿‍♂	baie de aburi, bărbat în saună, bărbat în saună: ton închis al pielii, saună, ton închis al pielii
🧗🏻	cățărare, persoană care se cațără, persoană care se cațără: ton deschis al pielii, ton deschis al pielii
🧗🏼	cățărare, persoană care se cațără, persoană care se cațără: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🧗🏽	cățărare, persoană care se cațără, persoană care se cațără: ton mediu al pielii, ton mediu al pielii
🧗🏾	cățărare, persoană care se cațără, persoană care se cațără: ton semi‑închis al pielii, ton semi‑închis al pielii
🧗🏿	cățărare, persoană care se cațără, persoană care se cațără: ton închis al pielii, ton închis al pielii
🧗🏻‍♀	cățărare, cățărător, femeie care se cațără, femeie care se cațără: ton deschis al pielii, ton deschis al pielii
🧗🏼‍♀	cățărare, cățărător, femeie care se cațără, femeie care se cațără: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🧗🏽‍♀	cățărare, cățărător, femeie care se cațără, femeie care se cațără: ton mediu al pielii, ton mediu al pielii
🧗🏾‍♀	cățărare, cățărător, femeie care se cațără, femeie care se cațără: ton semi‑închis al pielii, ton semi‑închis al pielii
🧗🏿‍♀	cățărare, cățărător, femeie care se cațără, femeie care se cațără: ton închis al pielii, ton închis al pielii
🧗🏻‍♂	bărbat care se cațără, bărbat care se cațără: ton deschis al pielii, cățărare, cățărătoare, ton deschis al pielii
🧗🏼‍♂	bărbat care se cațără, bărbat care se cațără: ton semi‑deschis al pielii, cățărare, cățărătoare, ton semi‑deschis al pielii
🧗🏽‍♂	bărbat care se cațără, bărbat care se cațără: ton mediu al pielii, cățărare, cățărătoare, ton mediu al pielii
🧗🏾‍♂	bărbat care se cațără, bărbat care se cațără: ton semi‑închis al pielii, cățărare, cățărătoare, ton semi‑închis al pielii
🧗🏿‍♂	bărbat care se cațără, bărbat care se cațără: ton închis al pielii, cățărare, cățărătoare, ton închis al pielii
🧘🏻	mediație, persoană în poziția lotus, persoană în poziția lotus: ton deschis al pielii, ton deschis al pielii, yoga
🧘🏼	mediație, persoană în poziția lotus, persoană în poziția lotus: ton semi‑deschis al pielii, ton semi‑deschis al pielii, yoga
🧘🏽	mediație, persoană în poziția lotus, persoană în poziția lotus: ton mediu al pielii, ton mediu al pielii, yoga
🧘🏾	mediație, persoană în poziția lotus, persoană în poziția lotus: ton semi‑închis al pielii, ton semi‑închis al pielii, yoga
🧘🏿	mediație, persoană în poziția lotus, persoană în poziția lotus: ton închis al pielii, ton închis al pielii, yoga
🧘🏻‍♀	femeie în poziția lotus, femeie în poziția lotus: ton deschis al pielii, mediație, ton deschis al pielii, yoga
🧘🏼‍♀	femeie în poziția lotus, femeie în poziția lotus: ton semi‑deschis al pielii, mediație, ton semi‑deschis al pielii, yoga
🧘🏽‍♀	femeie în poziția lotus, femeie în poziția lotus: ton mediu al pielii, mediație, ton mediu al pielii, yoga
🧘🏾‍♀	femeie în poziția lotus, femeie în poziția lotus: ton semi‑închis al pielii, mediație, ton semi‑închis al pielii, yoga
🧘🏿‍♀	femeie în poziția lotus, femeie în poziția lotus: ton închis al pielii, mediație, ton închis al pielii, yoga
🧘🏻‍♂	bărbat în poziția lotus, bărbat în poziția lotus: ton deschis al pielii, mediație, ton deschis al pielii, yoga
🧘🏼‍♂	bărbat în poziția lotus, bărbat în poziția lotus: ton semi‑deschis al pielii, mediație, ton semi‑deschis al pielii, yoga
🧘🏽‍♂	bărbat în poziția lotus, bărbat în poziția lotus: ton mediu al pielii, mediație, ton mediu al pielii, yoga
🧘🏾‍♂	bărbat în poziția lotus, bărbat în poziția lotus: ton semi‑închis al pielii, mediație, ton semi‑închis al pielii, yoga
🧘🏿‍♂	bărbat în poziția lotus, bărbat în poziția lotus: ton închis al pielii, mediație, ton închis al pielii, yoga
🛀🏻	cadă, om, persoană care face baie, persoană care face baie: ton deschis al pielii, ton deschis al pielii
🛀🏼	cadă, om, persoană care face baie, persoană care face baie: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🛀🏽	cadă, om, persoană care face baie, persoană care face baie: ton mediu al pielii, ton mediu al pielii
🛀🏾	cadă, om, persoană care face baie, persoană care face baie: ton semi‑închis al pielii, ton semi‑închis al pielii
🛀🏿	cadă, om, persoană care face baie, persoană care face baie: ton închis al pielii, ton închis al pielii
🛌🏻	hotel, om, pat, persoană în pat, persoană în pat: ton deschis al pielii, somn, ton deschis al pielii
🛌🏼	hotel, om, pat, persoană în pat, persoană în pat: ton semi‑deschis al pielii, somn, ton semi‑deschis al pielii
🛌🏽	hotel, om, pat, persoană în pat, persoană în pat: ton mediu al pielii, somn, ton mediu al pielii
🛌🏾	hotel, om, pat, persoană în pat, persoană în pat: ton semi‑închis al pielii, somn, ton semi‑închis al pielii
🛌🏿	hotel, om, pat, persoană în pat, persoană în pat: ton închis al pielii, somn, ton închis al pielii
🕴🏻	afaceri, bărbat, bărbat la costum, levitând, bărbat la costum, levitând: ton deschis al pielii, costum, plutire, ton deschis al pielii
🕴🏼	afaceri, bărbat, bărbat la costum, levitând, bărbat la costum, levitând: ton semi‑deschis al pielii, costum, plutire, ton semi‑deschis al pielii
